t,dt,desired_v,left,right,distance,state,meas_left,meas_right,err,adapt_gain
0.000,0.000,0.60,0.12,0.12,1.00,Run,0.000,0.000,0.6000,1.000
0.013,0.013,0.60,0.12,0.12,1.00,Run,0.004,0.004,0.5964,1.000
0.025,0.013,0.60,0.11,0.11,1.00,Run,0.007,0.007,0.5929,1.000
0.037,0.012,0.60,0.11,0.11,1.00,Run,0.010,0.010,0.5898,1.000
0.049,0.013,0.60,0.11,0.11,1.00,Run,0.013,0.013,0.5865,1.000
0.062,0.013,0.60,0.11,0.11,1.00,Run,0.017,0.017,0.5834,1.000
0.074,0.012,0.60,0.11,0.11,1.00,Run,0.019,0.019,0.5805,1.000
0.086,0.013,0.60,0.11,0.11,1.00,Run,0.023,0.023,0.5775,1.000
0.097,0.011,0.60,0.11,0.11,1.00,Run,0.025,0.025,0.5749,1.000
0.109,0.013,0.60,0.11,0.11,1.00,Run,0.028,0.028,0.5720,1.000
0.120,0.011,0.60,0.11,0.11,1.00,Run,0.031,0.031,0.5695,1.000
0.133,0.013,0.60,0.11,0.11,1.00,Run,0.033,0.033,0.5666,1.000
0.146,0.013,0.60,0.11,0.11,1.00,Run,0.036,0.036,0.5638,1.000
0.157,0.011,0.60,0.11,0.11,1.00,Run,0.039,0.039,0.5613,1.000
0.169,0.012,0.60,0.11,0.11,1.00,Run,0.041,0.041,0.5585,1.000
0.181,0.011,0.60,0.11,0.11,1.00,Run,0.044,0.044,0.5560,1.000
0.199,0.018,0.60,0.11,0.11,1.00,Run,0.048,0.048,0.5521,1.000
0.215,0.016,0.60,0.11,0.11,1.00,Run,0.051,0.051,0.5487,1.000
0.228,0.013,0.60,0.11,0.11,1.00,Run,0.054,0.054,0.5460,1.000
0.238,0.010,0.60,0.11,0.11,1.00,Run,0.056,0.056,0.5439,1.000
0.249,0.011,0.60,0.11,0.11,1.00,Run,0.058,0.058,0.5417,1.000
0.266,0.018,0.60,0.11,0.11,1.00,Run,0.062,0.062,0.5381,1.000
0.282,0.016,0.60,0.11,0.11,1.00,Run,0.065,0.065,0.5348,1.000
0.297,0.015,0.60,0.11,0.11,1.00,Run,0.068,0.068,0.5319,1.000
0.310,0.013,0.60,0.11,0.11,1.00,Run,0.071,0.071,0.5294,1.000
0.322,0.013,0.60,0.11,0.11,1.00,Run,0.073,0.073,0.5269,1.000
0.335,0.013,0.60,0.11,0.11,1.00,Run,0.076,0.076,0.5245,1.000
0.347,0.012,0.60,0.12,0.12,1.00,Run,0.078,0.078,0.5222,1.000
0.360,0.013,0.60,0.12,0.12,1.00,Run,0.080,0.080,0.5197,1.000
0.370,0.011,0.60,0.12,0.12,1.00,Run,0.082,0.082,0.5177,1.000
0.383,0.013,0.60,0.12,0.12,1.00,Run,0.085,0.085,0.5154,1.000
0.396,0.013,0.60,0.12,0.12,1.00,Run,0.087,0.087,0.5131,1.000
0.407,0.011,0.60,0.12,0.12,1.00,Run,0.089,0.089,0.5110,1.000
0.419,0.012,0.60,0.12,0.12,1.00,Run,0.091,0.091,0.5089,1.000
0.431,0.013,0.60,0.12,0.12,1.00,Run,0.093,0.093,0.5066,1.000
0.443,0.012,0.60,0.12,0.12,1.00,Run,0.096,0.096,0.5044,1.000
0.456,0.013,0.60,0.12,0.12,1.00,Run,0.098,0.098,0.5021,1.000
0.469,0.013,0.60,0.12,0.12,1.00,Run,0.100,0.100,0.4999,1.000
0.479,0.010,0.60,0.12,0.12,1.00,Run,0.102,0.102,0.4981,1.000
0.491,0.013,0.60,0.12,0.12,1.00,Run,0.104,0.104,0.4959,1.000
0.504,0.013,0.60,0.12,0.12,1.00,Run,0.106,0.106,0.4938,1.000
0.515,0.011,0.60,0.12,0.12,1.00,Run,0.108,0.108,0.4919,1.000
0.527,0.012,0.60,0.12,0.12,1.00,Run,0.110,0.110,0.4899,1.000
0.539,0.012,0.60,0.12,0.12,1.00,Run,0.112,0.112,0.4878,1.000
0.552,0.012,0.60,0.12,0.12,1.00,Run,0.114,0.114,0.4858,1.000
0.564,0.013,0.60,0.12,0.12,1.00,Run,0.116,0.116,0.4837,1.000
0.577,0.013,0.60,0.12,0.12,1.00,Run,0.118,0.118,0.4816,1.000
0.589,0.013,0.60,0.12,0.12,1.00,Run,0.120,0.120,0.4796,1.000
0.602,0.012,0.60,0.13,0.13,1.00,Run,0.122,0.122,0.4776,1.000
0.613,0.012,0.60,0.13,0.13,1.00,Run,0.124,0.124,0.4757,1.000
0.625,0.012,0.60,0.13,0.13,1.00,Run,0.126,0.126,0.4738,1.000
0.637,0.012,0.60,0.13,0.13,1.00,Run,0.128,0.128,0.4720,1.000
0.650,0.013,0.60,0.13,0.13,1.00,Run,0.130,0.130,0.4700,1.000
0.662,0.012,0.60,0.13,0.13,1.00,Run,0.132,0.132,0.4681,1.000
0.674,0.013,0.60,0.13,0.13,1.00,Run,0.134,0.134,0.4662,1.000
0.687,0.013,0.60,0.13,0.13,1.00,Run,0.136,0.136,0.4642,1.000
0.699,0.013,0.60,0.13,0.13,1.00,Run,0.138,0.138,0.4623,1.000
0.712,0.013,0.60,0.13,0.13,1.00,Run,0.140,0.140,0.4604,1.000
0.725,0.013,0.60,0.13,0.13,1.00,Run,0.141,0.141,0.4586,1.000
0.737,0.013,0.60,0.13,0.13,1.00,Run,0.143,0.143,0.4567,1.000
