t,dt,desired_v,left,right,distance,state,meas_left,meas_right,err,adapt_gain
0.000,0.000,0.30,1.00,1.00,1.00,Run,0.000,0.000,0.3000,1.000
0.010,0.010,0.30,-0.76,-0.76,1.00,Run,-0.026,-0.026,0.3257,1.000
0.023,0.013,0.30,0.65,0.65,1.00,Run,0.002,0.002,0.2978,1.000
0.036,0.013,0.30,-0.39,-0.39,1.00,Run,-0.014,-0.014,0.3137,1.000
0.048,0.013,0.30,0.37,0.37,1.00,Run,0.002,0.002,0.2978,1.000
0.060,0.012,0.30,-0.19,-0.19,1.00,Run,-0.006,-0.006,0.3056,1.000
0.073,0.013,0.30,0.23,0.23,1.00,Run,0.004,0.004,0.2962,1.000
0.085,0.013,0.30,-0.08,-0.08,1.00,Run,0.000,0.000,0.2997,1.000
0.098,0.013,0.30,0.14,0.14,1.00,Run,0.006,0.006,0.2940,1.000
0.111,0.013,0.30,-0.03,-0.03,1.00,Run,0.005,0.005,0.2953,1.000
0.124,0.013,0.30,0.09,0.09,1.00,Run,0.009,0.009,0.2914,1.000
0.141,0.017,0.30,0.02,0.02,1.00,Run,0.009,0.009,0.2911,1.000
0.156,0.015,0.30,0.06,0.06,1.00,Run,0.011,0.011,0.2886,1.000
0.168,0.013,0.30,0.03,0.03,1.00,Run,0.012,0.012,0.2879,1.000
0.189,0.021,0.30,0.05,0.05,1.00,Run,0.014,0.014,0.2856,1.000
0.200,0.011,0.30,0.04,0.04,1.00,Run,0.015,0.015,0.2848,1.000
0.210,0.011,0.30,0.04,0.04,1.00,Run,0.016,0.016,0.2838,1.000
0.238,0.027,0.30,0.04,0.04,1.00,Run,0.018,0.018,0.2818,1.000
0.250,0.012,0.30,0.04,0.04,1.00,Run,0.019,0.019,0.2809,1.000
0.268,0.018,0.30,0.04,0.04,1.00,Run,0.020,0.020,0.2797,1.000
0.281,0.013,0.30,0.04,0.04,1.00,Run,0.021,0.021,0.2788,1.000
0.294,0.013,0.30,0.04,0.04,1.00,Run,0.022,0.022,0.2780,1.000
0.307,0.013,0.30,0.04,0.04,1.00,Run,0.023,0.023,0.2773,1.000
0.319,0.013,0.30,0.04,0.04,1.00,Run,0.023,0.023,0.2766,1.000
0.330,0.011,0.30,0.04,0.04,1.00,Run,0.024,0.024,0.2760,1.000
0.343,0.013,0.30,0.04,0.04,1.00,Run,0.025,0.025,0.2754,1.000
0.355,0.013,0.30,0.04,0.04,1.00,Run,0.025,0.025,0.2747,1.000
0.368,0.013,0.30,0.04,0.04,1.00,Run,0.026,0.026,0.2742,1.000
0.380,0.012,0.30,0.04,0.04,1.00,Run,0.026,0.026,0.2736,1.000
0.392,0.012,0.30,0.04,0.04,1.00,Run,0.027,0.027,0.2731,1.000
0.405,0.013,0.30,0.04,0.04,1.00,Run,0.027,0.027,0.2726,1.000
0.415,0.010,0.30,0.04,0.04,1.00,Run,0.028,0.028,0.2722,1.000
0.428,0.013,0.30,0.04,0.04,1.00,Run,0.028,0.028,0.2717,1.000
0.440,0.013,0.30,0.04,0.04,1.00,Run,0.029,0.029,0.2712,1.000
0.452,0.012,0.30,0.04,0.04,1.00,Run,0.029,0.029,0.2708,1.000
0.465,0.013,0.30,0.04,0.04,1.00,Run,0.030,0.030,0.2704,1.000
0.477,0.013,0.30,0.04,0.04,1.00,Run,0.030,0.030,0.2700,1.000
0.490,0.013,0.30,0.04,0.04,1.00,Run,0.030,0.030,0.2696,1.000
0.502,0.013,0.30,0.04,0.04,1.00,Run,0.031,0.031,0.2693,1.000
0.515,0.013,0.30,0.04,0.04,1.00,Run,0.031,0.031,0.2689,1.000
0.527,0.013,0.30,0.04,0.04,1.00,Run,0.031,0.031,0.2686,1.000
0.540,0.012,0.30,0.04,0.04,1.00,Run,0.032,0.032,0.2683,1.000
0.552,0.013,0.30,0.04,0.04,1.00,Run,0.032,0.032,0.2680,1.000
0.563,0.011,0.30,0.04,0.04,1.00,Run,0.032,0.032,0.2677,1.000
0.575,0.012,0.30,0.04,0.04,1.00,Run,0.033,0.033,0.2675,1.000
0.588,0.013,0.30,0.04,0.04,1.00,Run,0.033,0.033,0.2672,1.000
0.600,0.013,0.30,0.04,0.04,1.00,Run,0.033,0.033,0.2669,1.000
0.613,0.013,0.30,0.04,0.04,1.00,Run,0.033,0.033,0.2667,1.000
0.625,0.013,0.30,0.04,0.04,1.00,Run,0.034,0.034,0.2664,1.000
0.638,0.013,0.30,0.04,0.04,1.00,Run,0.034,0.034,0.2662,1.000
0.651,0.013,0.30,0.04,0.04,1.00,Run,0.034,0.034,0.2660,1.000
0.663,0.013,0.30,0.04,0.04,1.00,Run,0.034,0.034,0.2658,1.000
0.676,0.013,0.30,0.04,0.04,1.00,Run,0.034,0.034,0.2656,1.000
0.688,0.013,0.30,0.04,0.04,1.00,Run,0.035,0.035,0.2654,1.000
0.701,0.013,0.30,0.04,0.04,1.00,Run,0.035,0.035,0.2652,1.000
0.713,0.013,0.30,0.04,0.04,1.00,Run,0.035,0.035,0.2650,1.000
0.726,0.013,0.30,0.04,0.04,1.00,Run,0.035,0.035,0.2648,1.000
0.738,0.013,0.30,0.04,0.04,1.00,Run,0.035,0.035,0.2647,1.000
0.751,0.012,0.30,0.04,0.04,1.00,Run,0.035,0.035,0.2645,1.000
0.761,0.010,0.30,0.04,0.04,1.00,Run,0.036,0.036,0.2644,1.000
0.773,0.012,0.30,0.04,0.04,1.00,Run,0.036,0.036,0.2643,1.000
0.785,0.013,0.30,0.04,0.04,1.00,Run,0.036,0.036,0.2641,1.000
0.798,0.013,0.30,0.04,0.04,1.00,Run,0.036,0.036,0.2640,1.000
0.810,0.012,0.30,0.04,0.04,1.00,Run,0.036,0.036,0.2639,1.000
0.822,0.011,0.30,0.04,0.04,1.00,Run,0.036,0.036,0.2638,1.000
0.834,0.013,0.30,0.04,0.04,1.00,Run,0.036,0.036,0.2636,1.000
0.847,0.013,0.30,0.04,0.04,1.00,Run,0.036,0.036,0.2635,1.000
0.859,0.012,0.30,0.04,0.04,1.00,Run,0.037,0.037,0.2634,1.000
0.869,0.010,0.30,0.04,0.04,1.00,Run,0.037,0.037,0.2633,1.000
0.882,0.012,0.30,0.04,0.04,1.00,Run,0.037,0.037,0.2632,1.000
0.894,0.013,0.30,0.04,0.04,1.00,Run,0.037,0.037,0.2631,1.000
0.907,0.013,0.30,0.04,0.04,1.00,Run,0.037,0.037,0.2630,1.000
0.919,0.013,0.30,0.04,0.04,1.00,Run,0.037,0.037,0.2630,1.000
0.930,0.011,0.30,0.04,0.04,1.00,Run,0.037,0.037,0.2629,1.000
0.943,0.013,0.30,0.04,0.04,1.00,Run,0.037,0.037,0.2628,1.000
0.955,0.013,0.30,0.04,0.04,1.00,Run,0.037,0.037,0.2627,1.000
0.968,0.013,0.30,0.04,0.04,1.00,Run,0.037,0.037,0.2626,1.000
