t,dt,desired_v,left,right,distance,state,meas_left,meas_right,err,adapt_gain
0.000,0.000,0.60,0.06,0.06,1.00,Run,0.000,0.000,0.6000,1.000
0.012,0.012,0.60,0.06,0.06,1.00,Run,0.002,0.002,0.5982,1.000
0.025,0.013,0.60,0.06,0.06,1.00,Run,0.004,0.004,0.5964,1.000
0.036,0.011,0.60,0.06,0.06,1.00,Run,0.005,0.005,0.5949,1.000
0.048,0.013,0.60,0.06,0.06,1.00,Run,0.007,0.007,0.5931,1.000
0.060,0.012,0.60,0.06,0.06,1.00,Run,0.008,0.008,0.5915,1.000
0.073,0.012,0.60,0.06,0.06,1.00,Run,0.010,0.010,0.5899,1.000
0.083,0.010,0.60,0.06,0.06,1.00,Run,0.011,0.011,0.5885,1.000
0.095,0.013,0.60,0.06,0.06,1.00,Run,0.013,0.013,0.5869,1.000
0.107,0.012,0.60,0.06,0.06,1.00,Run,0.015,0.015,0.5854,1.000
0.120,0.013,0.60,0.06,0.06,1.00,Run,0.016,0.016,0.5839,1.000
0.132,0.013,0.60,0.06,0.06,1.00,Run,0.018,0.018,0.5823,1.000
0.145,0.012,0.60,0.06,0.06,1.00,Run,0.019,0.019,0.5807,1.000
0.157,0.013,0.60,0.06,0.06,1.00,Run,0.021,0.021,0.5792,1.000
0.170,0.013,0.60,0.06,0.06,1.00,Run,0.022,0.022,0.5777,1.000
0.182,0.012,0.60,0.06,0.06,1.00,Run,0.024,0.024,0.5763,1.000
0.194,0.013,0.60,0.06,0.06,1.00,Run,0.025,0.025,0.5748,1.000
0.206,0.012,0.60,0.06,0.06,1.00,Run,0.027,0.027,0.5734,1.000
0.218,0.012,0.60,0.06,0.06,1.00,Run,0.028,0.028,0.5720,1.000
0.231,0.013,0.60,0.06,0.06,1.00,Run,0.029,0.029,0.5705,1.000
0.243,0.013,0.60,0.06,0.06,1.00,Run,0.031,0.031,0.5691,1.000
0.254,0.010,0.60,0.06,0.06,1.00,Run,0.032,0.032,0.5679,1.000
0.266,0.013,0.60,0.06,0.06,1.00,Run,0.033,0.033,0.5665,1.000
0.277,0.011,0.60,0.06,0.06,1.00,Run,0.035,0.035,0.5653,1.000
0.290,0.013,0.60,0.06,0.06,1.00,Run,0.036,0.036,0.5639,1.000
0.302,0.013,0.60,0.06,0.06,1.00,Run,0.037,0.037,0.5625,1.000
0.315,0.013,0.60,0.06,0.06,1.00,Run,0.039,0.039,0.5611,1.000
0.326,0.011,0.60,0.06,0.06,1.00,Run,0.040,0.040,0.5599,1.000
0.338,0.011,0.60,0.06,0.06,1.00,Run,0.041,0.041,0.5587,1.000
0.350,0.013,0.60,0.06,0.06,1.00,Run,0.043,0.043,0.5574,1.000
0.363,0.013,0.60,0.06,0.06,1.00,Run,0.044,0.044,0.5561,1.000
0.373,0.010,0.60,0.06,0.06,1.00,Run,0.045,0.045,0.5550,1.000
0.386,0.013,0.60,0.06,0.06,1.00,Run,0.046,0.046,0.5537,1.000
0.398,0.013,0.60,0.06,0.06,1.00,Run,0.048,0.048,0.5524,1.000
0.411,0.013,0.60,0.06,0.06,1.00,Run,0.049,0.049,0.5511,1.000
0.423,0.013,0.60,0.07,0.07,1.00,Run,0.050,0.050,0.5498,1.000
0.435,0.012,0.60,0.07,0.07,1.00,Run,0.051,0.051,0.5487,1.000
0.446,0.011,0.60,0.07,0.07,1.00,Run,0.052,0.052,0.5476,1.000
0.458,0.013,0.60,0.07,0.07,1.00,Run,0.054,0.054,0.5463,1.000
0.471,0.013,0.60,0.07,0.07,1.00,Run,0.055,0.055,0.5451,1.000
0.483,0.013,0.60,0.07,0.07,1.00,Run,0.056,0.056,0.5439,1.000
0.495,0.012,0.60,0.07,0.07,1.00,Run,0.057,0.057,0.5428,1.000
0.507,0.012,0.60,0.07,0.07,1.00,Run,0.058,0.058,0.5416,1.000
0.520,0.013,0.60,0.07,0.07,1.00,Run,0.060,0.060,0.5404,1.000
0.532,0.013,0.60,0.07,0.07,1.00,Run,0.061,0.061,0.5392,1.000
0.545,0.013,0.60,0.07,0.07,1.00,Run,0.062,0.062,0.5381,1.000
0.557,0.012,0.60,0.07,0.07,1.00,Run,0.063,0.063,0.5369,1.000
0.570,0.013,0.60,0.07,0.07,1.00,Run,0.064,0.064,0.5357,1.000
0.582,0.013,0.60,0.07,0.07,1.00,Run,0.065,0.065,0.5346,1.000
0.595,0.012,0.60,0.07,0.07,1.00,Run,0.067,0.067,0.5335,1.000
0.606,0.011,0.60,0.07,0.07,1.00,Run,0.068,0.068,0.5325,1.000
0.618,0.013,0.60,0.07,0.07,1.00,Run,0.069,0.069,0.5313,1.000
0.630,0.012,0.60,0.07,0.07,1.00,Run,0.070,0.070,0.5303,1.000
0.643,0.013,0.60,0.07,0.07,1.00,Run,0.071,0.071,0.5292,1.000
0.654,0.011,0.60,0.07,0.07,1.00,Run,0.072,0.072,0.5282,1.000
0.666,0.013,0.60,0.07,0.07,1.00,Run,0.073,0.073,0.5271,1.000
0.679,0.013,0.60,0.07,0.07,1.00,Run,0.074,0.074,0.5260,1.000
0.692,0.013,0.60,0.07,0.07,1.00,Run,0.075,0.075,0.5249,1.000
0.704,0.013,0.60,0.07,0.07,1.00,Run,0.076,0.076,0.5239,1.000
0.717,0.013,0.60,0.07,0.07,1.00,Run,0.077,0.077,0.5228,1.000
0.729,0.013,0.60,0.07,0.07,1.00,Run,0.078,0.078,0.5217,1.000
0.742,0.013,0.60,0.07,0.07,1.00,Run,0.079,0.079,0.5207,1.000
0.754,0.013,0.60,0.07,0.07,1.00,Run,0.080,0.080,0.5196,1.000
0.765,0.010,0.60,0.07,0.07,1.00,Run,0.081,0.081,0.5188,1.000
0.777,0.013,0.60,0.07,0.07,1.00,Run,0.082,0.082,0.5177,1.000
0.790,0.013,0.60,0.07,0.07,1.00,Run,0.083,0.083,0.5167,1.000
0.802,0.013,0.60,0.07,0.07,1.00,Run,0.084,0.084,0.5157,1.000
0.813,0.010,0.60,0.07,0.07,1.00,Run,0.085,0.085,0.5149,1.000
0.825,0.013,0.60,0.07,0.07,1.00,Run,0.086,0.086,0.5139,1.000
0.838,0.013,0.60,0.08,0.08,1.00,Run,0.087,0.087,0.5129,1.000
0.850,0.013,0.60,0.08,0.08,1.00,Run,0.088,0.088,0.5119,1.000
0.863,0.013,0.60,0.08,0.08,1.00,Run,0.089,0.089,0.5109,1.000
0.875,0.013,0.60,0.08,0.08,1.00,Run,0.090,0.090,0.5099,1.000
0.888,0.013,0.60,0.08,0.08,1.00,Run,0.091,0.091,0.5089,1.000
0.900,0.013,0.60,0.08,0.08,1.00,Run,0.092,0.092,0.5080,1.000
0.913,0.013,0.60,0.08,0.08,1.00,Run,0.093,0.093,0.5070,1.000
0.926,0.013,0.60,0.08,0.08,1.00,Run,0.094,0.094,0.5060,1.000
0.938,0.013,0.60,0.08,0.08,1.00,Run,0.095,0.095,0.5051,1.000
0.951,0.013,0.60,0.08,0.08,1.00,Run,0.096,0.096,0.5041,1.000
0.963,0.013,0.60,0.08,0.08,1.00,Run,0.097,0.097,0.5032,1.000
0.976,0.013,0.60,0.08,0.08,1.00,Run,0.098,0.098,0.5022,1.000
0.989,0.013,0.60,0.08,0.08,1.00,Run,0.099,0.099,0.5013,1.000
1.001,0.013,0.60,0.08,0.08,1.00,Run,0.100,0.100,0.5004,1.000
1.014,0.013,0.60,0.08,0.08,1.00,Run,0.101,0.101,0.4995,1.000
1.026,0.013,0.60,0.08,0.08,1.00,Run,0.101,0.101,0.4986,1.000
1.039,0.012,0.60,0.08,0.08,1.00,Run,0.102,0.102,0.4977,1.000
1.051,0.013,0.60,0.08,0.08,1.00,Run,0.103,0.103,0.4967,1.000
1.064,0.013,0.60,0.08,0.08,1.00,Run,0.104,0.104,0.4958,1.000
1.076,0.013,0.60,0.08,0.08,1.00,Run,0.105,0.105,0.4949,1.000
1.087,0.011,0.60,0.08,0.08,1.00,Run,0.106,0.106,0.4942,1.000
1.100,0.013,0.60,0.08,0.08,1.00,Run,0.107,0.107,0.4933,1.000
1.112,0.013,0.60,0.08,0.08,1.00,Run,0.108,0.108,0.4924,1.000
1.125,0.013,0.60,0.08,0.08,1.00,Run,0.109,0.109,0.4915,1.000
1.137,0.012,0.60,0.08,0.08,1.00,Run,0.109,0.109,0.4907,1.000
1.150,0.013,0.60,0.08,0.08,1.00,Run,0.110,0.110,0.4898,1.000
1.162,0.013,0.60,0.08,0.08,1.00,Run,0.111,0.111,0.4889,1.000
1.175,0.013,0.60,0.08,0.08,1.00,Run,0.112,0.112,0.4881,1.000
1.186,0.011,0.60,0.08,0.08,1.00,Run,0.113,0.113,0.4873,1.000
1.198,0.013,0.60,0.08,0.08,1.00,Run,0.114,0.114,0.4865,1.000
1.211,0.013,0.60,0.08,0.08,1.00,Run,0.114,0.114,0.4856,1.000
1.223,0.013,0.60,0.08,0.08,1.00,Run,0.115,0.115,0.4848,1.000
1.236,0.012,0.60,0.08,0.08,1.00,Run,0.116,0.116,0.4839,1.000
1.247,0.011,0.60,0.08,0.08,1.00,Run,0.117,0.117,0.4832,1.000
1.259,0.012,0.60,0.09,0.09,1.00,Run,0.118,0.118,0.4824,1.000
1.272,0.013,0.60,0.09,0.09,1.00,Run,0.118,0.118,0.4815,1.000
1.285,0.013,0.60,0.09,0.09,1.00,Run,0.119,0.119,0.4807,1.000
1.296,0.011,0.60,0.09,0.09,1.00,Run,0.120,0.120,0.4800,1.000
1.307,0.012,0.60,0.09,0.09,1.00,Run,0.121,0.121,0.4792,1.000
1.320,0.013,0.60,0.09,0.09,1.00,Run,0.122,0.122,0.4784,1.000
