t,dt,desired_v,left,right,distance,state,meas_left,meas_right,err,adapt_gain
0.000,0.000,0.30,1.00,1.00,1.00,Run,0.000,0.000,0.3000,1.000
0.013,0.013,0.30,-0.30,-0.30,1.00,Run,-0.012,-0.012,0.3122,1.000
0.025,0.013,0.30,0.20,0.20,1.00,Run,-0.004,-0.004,0.3036,1.000
0.037,0.011,0.30,0.00,0.00,1.00,Run,-0.003,-0.003,0.3034,1.000
0.048,0.011,0.30,0.08,0.08,1.00,Run,-0.000,-0.000,0.3002,1.000
0.059,0.011,0.30,0.05,0.05,1.00,Run,0.001,0.001,0.2986,1.000
0.071,0.013,0.30,0.06,0.06,1.00,Run,0.004,0.004,0.2962,1.000
0.084,0.013,0.30,0.05,0.05,1.00,Run,0.006,0.006,0.2942,1.000
0.096,0.013,0.30,0.05,0.05,1.00,Run,0.008,0.008,0.2922,1.000
0.109,0.012,0.30,0.05,0.05,1.00,Run,0.010,0.010,0.2904,1.000
0.121,0.013,0.30,0.05,0.05,1.00,Run,0.011,0.011,0.2887,1.000
0.134,0.013,0.30,0.05,0.05,1.00,Run,0.013,0.013,0.2870,1.000
0.146,0.013,0.30,0.05,0.05,1.00,Run,0.015,0.015,0.2854,1.000
0.159,0.012,0.30,0.05,0.05,1.00,Run,0.016,0.016,0.2839,1.000
0.171,0.012,0.30,0.05,0.05,1.00,Run,0.018,0.018,0.2824,1.000
0.183,0.012,0.30,0.05,0.05,1.00,Run,0.019,0.019,0.2811,1.000
0.196,0.013,0.30,0.05,0.05,1.00,Run,0.020,0.020,0.2798,1.000
0.208,0.013,0.30,0.05,0.05,1.00,Run,0.022,0.022,0.2785,1.000
0.219,0.011,0.30,0.05,0.05,1.00,Run,0.023,0.023,0.2774,1.000
0.230,0.012,0.30,0.05,0.05,1.00,Run,0.024,0.024,0.2763,1.000
0.242,0.012,0.30,0.05,0.05,1.00,Run,0.025,0.025,0.2753,1.000
0.255,0.013,0.30,0.05,0.05,1.00,Run,0.026,0.026,0.2742,1.000
0.267,0.013,0.30,0.05,0.05,1.00,Run,0.027,0.027,0.2731,1.000
0.279,0.011,0.30,0.05,0.05,1.00,Run,0.028,0.028,0.2722,1.000
0.291,0.013,0.30,0.05,0.05,1.00,Run,0.029,0.029,0.2712,1.000
0.304,0.013,0.30,0.05,0.05,1.00,Run,0.030,0.030,0.2703,1.000
0.316,0.013,0.30,0.05,0.05,1.00,Run,0.031,0.031,0.2694,1.000
0.328,0.011,0.30,0.05,0.05,1.00,Run,0.031,0.031,0.2686,1.000
0.339,0.011,0.30,0.05,0.05,1.00,Run,0.032,0.032,0.2679,1.000
0.351,0.012,0.30,0.05,0.05,1.00,Run,0.033,0.033,0.2671,1.000
0.364,0.013,0.30,0.05,0.05,1.00,Run,0.034,0.034,0.2663,1.000
0.376,0.013,0.30,0.05,0.05,1.00,Run,0.034,0.034,0.2656,1.000
0.389,0.013,0.30,0.05,0.05,1.00,Run,0.035,0.035,0.2649,1.000
0.401,0.013,0.30,0.05,0.05,1.00,Run,0.036,0.036,0.2642,1.000
0.414,0.013,0.30,0.05,0.05,1.00,Run,0.036,0.036,0.2635,1.000
0.426,0.013,0.30,0.05,0.05,1.00,Run,0.037,0.037,0.2629,1.000
0.439,0.013,0.30,0.05,0.05,1.00,Run,0.038,0.038,0.2623,1.000
0.451,0.012,0.30,0.05,0.05,1.00,Run,0.038,0.038,0.2617,1.000
0.464,0.013,0.30,0.05,0.05,1.00,Run,0.039,0.039,0.2611,1.000
0.476,0.013,0.30,0.05,0.05,1.00,Run,0.039,0.039,0.2606,1.000
0.489,0.013,0.30,0.05,0.05,1.00,Run,0.040,0.040,0.2600,1.000
0.502,0.013,0.30,0.05,0.05,1.00,Run,0.040,0.040,0.2595,1.000
0.514,0.013,0.30,0.05,0.05,1.00,Run,0.041,0.041,0.2590,1.000
0.527,0.013,0.30,0.05,0.05,1.00,Run,0.041,0.041,0.2585,1.000
0.539,0.012,0.30,0.05,0.05,1.00,Run,0.042,0.042,0.2581,1.000
0.551,0.013,0.30,0.05,0.05,1.00,Run,0.042,0.042,0.2577,1.000
0.564,0.013,0.30,0.05,0.05,1.00,Run,0.043,0.043,0.2572,1.000
0.576,0.013,0.30,0.05,0.05,1.00,Run,0.043,0.043,0.2568,1.000
0.589,0.012,0.30,0.05,0.05,1.00,Run,0.044,0.044,0.2564,1.000
0.601,0.012,0.30,0.05,0.05,1.00,Run,0.044,0.044,0.2561,1.000
0.613,0.012,0.30,0.05,0.05,1.00,Run,0.044,0.044,0.2557,1.000
0.625,0.012,0.30,0.05,0.05,1.00,Run,0.045,0.045,0.2554,1.000
0.638,0.013,0.30,0.05,0.05,1.00,Run,0.045,0.045,0.2550,1.000
0.650,0.013,0.30,0.05,0.05,1.00,Run,0.045,0.045,0.2547,1.000
0.663,0.012,0.30,0.05,0.05,1.00,Run,0.046,0.046,0.2543,1.000
0.675,0.013,0.30,0.05,0.05,1.00,Run,0.046,0.046,0.2540,1.000
0.688,0.013,0.30,0.05,0.05,1.00,Run,0.046,0.046,0.2537,1.000
0.700,0.013,0.30,0.05,0.05,1.00,Run,0.047,0.047,0.2534,1.000
0.713,0.013,0.30,0.05,0.05,1.00,Run,0.047,0.047,0.2532,1.000
0.725,0.012,0.30,0.05,0.05,1.00,Run,0.047,0.047,0.2529,1.000
0.737,0.013,0.30,0.05,0.05,1.00,Run,0.047,0.047,0.2526,1.000
0.749,0.011,0.30,0.05,0.05,1.00,Run,0.048,0.048,0.2524,1.000
0.761,0.013,0.30,0.05,0.05,1.00,Run,0.048,0.048,0.2521,1.000
0.774,0.013,0.30,0.05,0.05,1.00,Run,0.048,0.048,0.2519,1.000
0.786,0.013,0.30,0.05,0.05,1.00,Run,0.048,0.048,0.2517,1.000
0.798,0.012,0.30,0.05,0.05,1.00,Run,0.049,0.049,0.2514,1.000
0.809,0.010,0.30,0.05,0.05,1.00,Run,0.049,0.049,0.2513,1.000
0.821,0.013,0.30,0.05,0.05,1.00,Run,0.049,0.049,0.2510,1.000
0.834,0.013,0.30,0.05,0.05,1.00,Run,0.049,0.049,0.2508,1.000
0.846,0.013,0.30,0.05,0.05,1.00,Run,0.049,0.049,0.2506,1.000
0.859,0.012,0.30,0.05,0.05,1.00,Run,0.050,0.050,0.2504,1.000
0.871,0.013,0.30,0.05,0.05,1.00,Run,0.050,0.050,0.2502,1.000
0.884,0.013,0.30,0.05,0.05,1.00,Run,0.050,0.050,0.2500,1.000
0.896,0.013,0.30,0.05,0.05,1.00,Run,0.050,0.050,0.2498,1.000
0.909,0.013,0.30,0.05,0.05,1.00,Run,0.050,0.050,0.2497,1.000
0.921,0.013,0.30,0.05,0.05,1.00,Run,0.051,0.051,0.2495,1.000
0.933,0.012,0.30,0.05,0.05,1.00,Run,0.051,0.051,0.2493,1.000
0.945,0.012,0.30,0.05,0.05,1.00,Run,0.051,0.051,0.2492,1.000
0.958,0.013,0.30,0.05,0.05,1.00,Run,0.051,0.051,0.2490,1.000
0.970,0.012,0.30,0.05,0.05,1.00,Run,0.051,0.051,0.2489,1.000
0.983,0.013,0.30,0.05,0.05,1.00,Run,0.051,0.051,0.2487,1.000
0.995,0.013,0.30,0.05,0.05,1.00,Run,0.051,0.051,0.2486,1.000
1.008,0.012,0.30,0.06,0.06,1.00,Run,0.052,0.052,0.2484,1.000
1.020,0.012,0.30,0.06,0.06,1.00,Run,0.052,0.052,0.2483,1.000
1.032,0.013,0.30,0.06,0.06,1.00,Run,0.052,0.052,0.2481,1.000
1.043,0.011,0.30,0.06,0.06,1.00,Run,0.052,0.052,0.2480,1.000
1.056,0.013,0.30,0.06,0.06,1.00,Run,0.052,0.052,0.2479,1.000
1.068,0.012,0.30,0.06,0.06,1.00,Run,0.052,0.052,0.2477,1.000
1.081,0.013,0.30,0.06,0.06,1.00,Run,0.052,0.052,0.2476,1.000
1.093,0.012,0.30,0.06,0.06,1.00,Run,0.053,0.053,0.2475,1.000
1.105,0.013,0.30,0.06,0.06,1.00,Run,0.053,0.053,0.2474,1.000
1.118,0.013,0.30,0.06,0.06,1.00,Run,0.053,0.053,0.2473,1.000
1.130,0.012,0.30,0.06,0.06,1.00,Run,0.053,0.053,0.2471,1.000
1.142,0.012,0.30,0.06,0.06,1.00,Run,0.053,0.053,0.2470,1.000
1.155,0.013,0.30,0.06,0.06,1.00,Run,0.053,0.053,0.2469,1.000
1.167,0.013,0.30,0.06,0.06,1.00,Run,0.053,0.053,0.2468,1.000
1.179,0.011,0.30,0.06,0.06,1.00,Run,0.053,0.053,0.2467,1.000
1.191,0.012,0.30,0.06,0.06,1.00,Run,0.053,0.053,0.2466,1.000
1.204,0.013,0.30,0.06,0.06,1.00,Run,0.054,0.054,0.2465,1.000
1.216,0.013,0.30,0.06,0.06,1.00,Run,0.054,0.054,0.2464,1.000
1.228,0.011,0.30,0.06,0.06,1.00,Run,0.054,0.054,0.2463,1.000
1.240,0.013,0.30,0.06,0.06,1.00,Run,0.054,0.054,0.2462,1.000
1.253,0.013,0.30,0.06,0.06,1.00,Run,0.054,0.054,0.2461,1.000
1.265,0.013,0.30,0.06,0.06,1.00,Run,0.054,0.054,0.2460,1.000
1.278,0.013,0.30,0.06,0.06,1.00,Run,0.054,0.054,0.2459,1.000
1.288,0.011,0.30,0.06,0.06,1.00,Run,0.054,0.054,0.2458,1.000
1.301,0.013,0.30,0.06,0.06,1.00,Run,0.054,0.054,0.2457,1.000
1.313,0.012,0.30,0.06,0.06,1.00,Run,0.054,0.054,0.2456,1.000
1.324,0.011,0.30,0.06,0.06,1.00,Run,0.054,0.054,0.2455,1.000
1.337,0.013,0.30,0.06,0.06,1.00,Run,0.055,0.055,0.2454,1.000
1.347,0.011,0.30,0.06,0.06,1.00,Run,0.055,0.055,0.2454,1.000
1.359,0.011,0.30,0.06,0.06,1.00,Run,0.055,0.055,0.2453,1.000
1.370,0.011,0.30,0.06,0.06,1.00,Run,0.055,0.055,0.2452,1.000
1.382,0.013,0.30,0.06,0.06,1.00,Run,0.055,0.055,0.2451,1.000
1.395,0.013,0.30,0.06,0.06,1.00,Run,0.055,0.055,0.2450,1.000
1.407,0.013,0.30,0.06,0.06,1.00,Run,0.055,0.055,0.2449,1.000
1.420,0.012,0.30,0.06,0.06,1.00,Run,0.055,0.055,0.2449,1.000
