t,dt,desired_v,left,right,distance,state,meas_left,meas_right,err,adapt_gain
0.000,0.000,0.60,1.00,1.00,1.00,Run,0.000,0.000,0.6000,1.000
0.011,0.011,0.60,-0.67,-0.67,1.00,Run,-0.019,-0.019,0.6187,1.000
0.024,0.013,0.60,0.61,0.61,1.00,Run,0.001,0.001,0.5993,1.000
0.034,0.011,0.60,-0.39,-0.39,1.00,Run,-0.010,-0.010,0.6097,1.000
0.047,0.013,0.60,0.40,0.40,1.00,Run,0.003,0.003,0.5971,1.000
0.060,0.013,0.60,-0.18,-0.18,1.00,Run,-0.003,-0.003,0.6027,1.000
0.070,0.011,0.60,0.27,0.27,1.00,Run,0.005,0.005,0.5954,1.000
0.083,0.013,0.60,-0.09,-0.09,1.00,Run,0.002,0.002,0.5982,1.000
0.096,0.013,0.60,0.17,0.17,1.00,Run,0.007,0.007,0.5928,1.000
0.108,0.013,0.60,-0.02,-0.02,1.00,Run,0.007,0.007,0.5934,1.000
0.120,0.012,0.60,0.12,0.12,1.00,Run,0.010,0.010,0.5897,1.000
0.133,0.012,0.60,0.02,0.02,1.00,Run,0.011,0.011,0.5893,1.000
0.144,0.012,0.60,0.10,0.10,1.00,Run,0.013,0.013,0.5866,1.000
0.157,0.013,0.60,0.04,0.04,1.00,Run,0.014,0.014,0.5856,1.000
0.168,0.011,0.60,0.09,0.09,1.00,Run,0.017,0.017,0.5835,1.000
0.179,0.012,0.60,0.05,0.05,1.00,Run,0.018,0.018,0.5823,1.000
0.190,0.011,0.60,0.08,0.08,1.00,Run,0.020,0.020,0.5804,1.000
0.203,0.012,0.60,0.05,0.05,1.00,Run,0.021,0.021,0.5790,1.000
0.215,0.013,0.60,0.07,0.07,1.00,Run,0.023,0.023,0.5771,1.000
0.228,0.013,0.60,0.06,0.06,1.00,Run,0.024,0.024,0.5756,1.000
0.239,0.011,0.60,0.07,0.07,1.00,Run,0.026,0.026,0.5739,1.000
0.252,0.013,0.60,0.06,0.06,1.00,Run,0.028,0.028,0.5724,1.000
0.264,0.012,0.60,0.07,0.07,1.00,Run,0.029,0.029,0.5707,1.000
0.276,0.013,0.60,0.07,0.07,1.00,Run,0.031,0.031,0.5691,1.000
0.289,0.013,0.60,0.07,0.07,1.00,Run,0.033,0.033,0.5675,1.000
0.301,0.013,0.60,0.07,0.07,1.00,Run,0.034,0.034,0.5659,1.000
0.312,0.010,0.60,0.07,0.07,1.00,Run,0.035,0.035,0.5645,1.000
0.323,0.011,0.60,0.07,0.07,1.00,Run,0.037,0.037,0.5632,1.000
0.333,0.010,0.60,0.07,0.07,1.00,Run,0.038,0.038,0.5619,1.000
0.343,0.010,0.60,0.07,0.07,1.00,Run,0.039,0.039,0.5606,1.000
0.355,0.013,0.60,0.07,0.07,1.00,Run,0.041,0.041,0.5590,1.000
0.368,0.013,0.60,0.07,0.07,1.00,Run,0.043,0.043,0.5575,1.000
0.380,0.012,0.60,0.07,0.07,1.00,Run,0.044,0.044,0.5559,1.000
0.393,0.013,0.60,0.07,0.07,1.00,Run,0.046,0.046,0.5543,1.000
0.406,0.013,0.60,0.07,0.07,1.00,Run,0.047,0.047,0.5528,1.000
0.418,0.013,0.60,0.07,0.07,1.00,Run,0.049,0.049,0.5512,1.000
0.430,0.012,0.60,0.07,0.07,1.00,Run,0.050,0.050,0.5497,1.000
0.443,0.012,0.60,0.07,0.07,1.00,Run,0.052,0.052,0.5482,1.000
0.455,0.012,0.60,0.08,0.08,1.00,Run,0.053,0.053,0.5467,1.000
0.467,0.013,0.60,0.08,0.08,1.00,Run,0.055,0.055,0.5452,1.000
0.480,0.013,0.60,0.08,0.08,1.00,Run,0.056,0.056,0.5437,1.000
0.490,0.010,0.60,0.08,0.08,1.00,Run,0.058,0.058,0.5424,1.000
0.503,0.013,0.60,0.08,0.08,1.00,Run,0.059,0.059,0.5409,1.000
0.514,0.011,0.60,0.08,0.08,1.00,Run,0.060,0.060,0.5396,1.000
0.526,0.013,0.60,0.08,0.08,1.00,Run,0.062,0.062,0.5381,1.000
0.539,0.013,0.60,0.08,0.08,1.00,Run,0.063,0.063,0.5366,1.000
0.551,0.013,0.60,0.08,0.08,1.00,Run,0.065,0.065,0.5351,1.000
0.562,0.011,0.60,0.08,0.08,1.00,Run,0.066,0.066,0.5339,1.000
0.574,0.013,0.60,0.08,0.08,1.00,Run,0.068,0.068,0.5324,1.000
0.587,0.013,0.60,0.08,0.08,1.00,Run,0.069,0.069,0.5309,1.000
0.600,0.013,0.60,0.08,0.08,1.00,Run,0.071,0.071,0.5295,1.000
0.612,0.013,0.60,0.08,0.08,1.00,Run,0.072,0.072,0.5280,1.000
0.625,0.012,0.60,0.08,0.08,1.00,Run,0.073,0.073,0.5265,1.000
0.637,0.013,0.60,0.08,0.08,1.00,Run,0.075,0.075,0.5251,1.000
0.650,0.013,0.60,0.08,0.08,1.00,Run,0.076,0.076,0.5236,1.000
0.662,0.013,0.60,0.08,0.08,1.00,Run,0.078,0.078,0.5222,1.000
0.675,0.013,0.60,0.09,0.09,1.00,Run,0.079,0.079,0.5207,1.000
0.687,0.013,0.60,0.09,0.09,1.00,Run,0.081,0.081,0.5193,1.000
0.700,0.013,0.60,0.09,0.09,1.00,Run,0.082,0.082,0.5179,1.000
0.710,0.011,0.60,0.09,0.09,1.00,Run,0.083,0.083,0.5167,1.000
0.723,0.013,0.60,0.09,0.09,1.00,Run,0.085,0.085,0.5152,1.000
0.735,0.013,0.60,0.09,0.09,1.00,Run,0.086,0.086,0.5138,1.000
0.748,0.013,0.60,0.09,0.09,1.00,Run,0.088,0.088,0.5124,1.000
0.761,0.013,0.60,0.09,0.09,1.00,Run,0.089,0.089,0.5109,1.000
0.773,0.013,0.60,0.09,0.09,1.00,Run,0.090,0.090,0.5095,1.000
0.786,0.013,0.60,0.09,0.09,1.00,Run,0.092,0.092,0.5081,1.000
0.798,0.013,0.60,0.09,0.09,1.00,Run,0.093,0.093,0.5067,1.000
