t,dt,desired_v,left,right,distance,state,meas_left,meas_right,err,adapt_gain
0.000,0.000,0.60,1.00,1.00,1.00,Run,0.000,0.000,0.6000,1.000
0.013,0.013,0.60,-0.55,-0.55,1.00,Run,-0.017,-0.017,0.6173,1.000
0.024,0.011,0.60,0.66,0.66,1.00,Run,0.001,0.001,0.5991,1.000
0.036,0.013,0.60,-0.30,-0.30,1.00,Run,-0.009,-0.009,0.6087,1.000
0.049,0.013,0.60,0.41,0.41,1.00,Run,0.004,0.004,0.5958,1.000
0.061,0.013,0.60,-0.12,-0.12,1.00,Run,0.000,0.000,0.5996,1.000
0.074,0.013,0.60,0.27,0.27,1.00,Run,0.009,0.009,0.5912,1.000
0.086,0.013,0.60,-0.02,-0.02,1.00,Run,0.008,0.008,0.5919,1.000
0.099,0.013,0.60,0.19,0.19,1.00,Run,0.014,0.014,0.5860,1.000
0.112,0.013,0.60,0.04,0.04,1.00,Run,0.015,0.015,0.5851,1.000
0.124,0.013,0.60,0.15,0.15,1.00,Run,0.019,0.019,0.5807,1.000
0.135,0.011,0.60,0.06,0.06,1.00,Run,0.021,0.021,0.5793,1.000
0.148,0.013,0.60,0.13,0.13,1.00,Run,0.024,0.024,0.5755,1.000
0.160,0.013,0.60,0.08,0.08,1.00,Run,0.027,0.027,0.5734,1.000
0.173,0.013,0.60,0.12,0.12,1.00,Run,0.030,0.030,0.5702,1.000
0.183,0.010,0.60,0.09,0.09,1.00,Run,0.032,0.032,0.5684,1.000
0.195,0.012,0.60,0.11,0.11,1.00,Run,0.035,0.035,0.5655,1.000
0.208,0.013,0.60,0.09,0.09,1.00,Run,0.037,0.037,0.5632,1.000
0.220,0.012,0.60,0.11,0.11,1.00,Run,0.040,0.040,0.5605,1.000
0.232,0.013,0.60,0.10,0.10,1.00,Run,0.042,0.042,0.5581,1.000
0.245,0.012,0.60,0.10,0.10,1.00,Run,0.044,0.044,0.5556,1.000
0.255,0.011,0.60,0.10,0.10,1.00,Run,0.046,0.046,0.5536,1.000
0.268,0.013,0.60,0.10,0.10,1.00,Run,0.049,0.049,0.5511,1.000
0.280,0.013,0.60,0.10,0.10,1.00,Run,0.051,0.051,0.5488,1.000
0.293,0.013,0.60,0.10,0.10,1.00,Run,0.054,0.054,0.5465,1.000
0.305,0.012,0.60,0.10,0.10,1.00,Run,0.056,0.056,0.5443,1.000
0.318,0.013,0.60,0.10,0.10,1.00,Run,0.058,0.058,0.5420,1.000
0.330,0.013,0.60,0.10,0.10,1.00,Run,0.060,0.060,0.5398,1.000
0.343,0.013,0.60,0.10,0.10,1.00,Run,0.062,0.062,0.5376,1.000
