t,dt,desired_v,left,right,distance,state,meas_left,meas_right,err,adapt_gain
0.000,0.000,0.60,1.00,1.00,1.00,Run,0.000,0.000,0.6000,1.000
0.012,0.012,0.60,-0.52,-0.52,1.00,Run,-0.016,-0.016,0.6161,1.000
0.024,0.012,0.60,0.66,0.66,1.00,Run,0.003,0.003,0.5967,1.000
0.037,0.013,0.60,-0.25,-0.25,1.00,Run,-0.005,-0.005,0.6047,1.000
0.049,0.013,0.60,0.43,0.43,1.00,Run,0.009,0.009,0.5913,1.000
0.061,0.012,0.60,-0.10,-0.10,1.00,Run,0.006,0.006,0.5942,1.000
0.074,0.013,0.60,0.31,0.31,1.00,Run,0.015,0.015,0.5846,1.000
0.086,0.013,0.60,0.01,0.01,1.00,Run,0.015,0.015,0.5846,1.000
0.099,0.013,0.60,0.23,0.23,1.00,Run,0.022,0.022,0.5775,1.000
0.111,0.013,0.60,0.07,0.07,1.00,Run,0.024,0.024,0.5758,1.000
0.124,0.013,0.60,0.19,0.19,1.00,Run,0.030,0.030,0.5702,1.000
0.137,0.013,0.60,0.10,0.10,1.00,Run,0.032,0.032,0.5675,1.000
0.149,0.013,0.60,0.17,0.17,1.00,Run,0.037,0.037,0.5627,1.000
0.161,0.012,0.60,0.12,0.12,1.00,Run,0.040,0.040,0.5599,1.000
0.173,0.012,0.60,0.16,0.16,1.00,Run,0.044,0.044,0.5556,1.000
0.186,0.012,0.60,0.13,0.13,1.00,Run,0.048,0.048,0.5524,1.000
0.198,0.013,0.60,0.15,0.15,1.00,Run,0.052,0.052,0.5484,1.000
0.211,0.013,0.60,0.13,0.13,1.00,Run,0.055,0.055,0.5451,1.000
0.222,0.011,0.60,0.15,0.15,1.00,Run,0.058,0.058,0.5417,1.000
0.234,0.012,0.60,0.14,0.14,1.00,Run,0.061,0.061,0.5385,1.000
0.244,0.010,0.60,0.15,0.15,1.00,Run,0.064,0.064,0.5356,1.000
0.257,0.013,0.60,0.14,0.14,1.00,Run,0.068,0.068,0.5322,1.000
0.268,0.011,0.60,0.15,0.15,1.00,Run,0.071,0.071,0.5291,1.000
0.280,0.013,0.60,0.14,0.14,1.00,Run,0.074,0.074,0.5258,1.000
0.293,0.013,0.60,0.14,0.14,1.00,Run,0.078,0.078,0.5225,1.000
0.305,0.012,0.60,0.14,0.14,1.00,Run,0.081,0.081,0.5194,1.000
0.318,0.013,0.60,0.14,0.14,1.00,Run,0.084,0.084,0.5161,1.000
0.330,0.013,0.60,0.14,0.14,1.00,Run,0.087,0.087,0.5130,1.000
0.343,0.013,0.60,0.14,0.14,1.00,Run,0.090,0.090,0.5098,1.000
0.353,0.010,0.60,0.14,0.14,1.00,Run,0.093,0.093,0.5073,1.000
0.363,0.010,0.60,0.14,0.14,1.00,Run,0.095,0.095,0.5048,1.000
0.376,0.013,0.60,0.14,0.14,1.00,Run,0.098,0.098,0.5018,1.000
0.388,0.012,0.60,0.15,0.15,1.00,Run,0.101,0.101,0.4989,1.000
0.401,0.013,0.60,0.15,0.15,1.00,Run,0.104,0.104,0.4959,1.000
0.412,0.011,0.60,0.15,0.15,1.00,Run,0.107,0.107,0.4934,1.000
0.424,0.013,0.60,0.15,0.15,1.00,Run,0.110,0.110,0.4905,1.000
0.436,0.012,0.60,0.15,0.15,1.00,Run,0.112,0.112,0.4878,1.000
0.449,0.013,0.60,0.15,0.15,1.00,Run,0.115,0.115,0.4850,1.000
0.461,0.012,0.60,0.15,0.15,1.00,Run,0.118,0.118,0.4823,1.000
0.473,0.013,0.60,0.15,0.15,1.00,Run,0.120,0.120,0.4796,1.000
0.484,0.010,0.60,0.15,0.15,1.00,Run,0.123,0.123,0.4773,1.000
0.496,0.012,0.60,0.15,0.15,1.00,Run,0.125,0.125,0.4747,1.000
0.509,0.013,0.60,0.15,0.15,1.00,Run,0.128,0.128,0.4721,1.000
0.521,0.013,0.60,0.15,0.15,1.00,Run,0.131,0.131,0.4695,1.000
0.534,0.013,0.60,0.15,0.15,1.00,Run,0.133,0.133,0.4669,1.000
0.546,0.012,0.60,0.15,0.15,1.00,Run,0.136,0.136,0.4645,1.000
0.559,0.013,0.60,0.15,0.15,1.00,Run,0.138,0.138,0.4620,1.000
0.571,0.013,0.60,0.15,0.15,1.00,Run,0.141,0.141,0.4595,1.000
0.584,0.013,0.60,0.15,0.15,1.00,Run,0.143,0.143,0.4571,1.000
0.596,0.012,0.60,0.15,0.15,1.00,Run,0.145,0.145,0.4547,1.000
0.608,0.013,0.60,0.15,0.15,1.00,Run,0.148,0.148,0.4523,1.000
0.621,0.013,0.60,0.15,0.15,1.00,Run,0.150,0.150,0.4500,1.000
0.632,0.011,0.60,0.15,0.15,1.00,Run,0.152,0.152,0.4480,1.000
0.644,0.013,0.60,0.15,0.15,1.00,Run,0.154,0.154,0.4457,1.000
0.657,0.013,0.60,0.15,0.15,1.00,Run,0.157,0.157,0.4434,1.000
0.669,0.013,0.60,0.15,0.15,1.00,Run,0.159,0.159,0.4412,1.000
0.682,0.012,0.60,0.15,0.15,1.00,Run,0.161,0.161,0.4391,1.000
0.694,0.013,0.60,0.15,0.15,1.00,Run,0.163,0.163,0.4369,1.000
0.707,0.013,0.60,0.15,0.15,1.00,Run,0.165,0.165,0.4348,1.000
0.719,0.012,0.60,0.15,0.15,1.00,Run,0.167,0.167,0.4327,1.000
0.732,0.013,0.60,0.15,0.15,1.00,Run,0.169,0.169,0.4306,1.000
0.744,0.013,0.60,0.15,0.15,1.00,Run,0.172,0.172,0.4285,1.000
0.757,0.013,0.60,0.15,0.15,1.00,Run,0.174,0.174,0.4264,1.000
0.769,0.013,0.60,0.15,0.15,1.00,Run,0.176,0.176,0.4244,1.000
0.782,0.013,0.60,0.15,0.15,1.00,Run,0.178,0.178,0.4224,1.000
0.794,0.013,0.60,0.15,0.15,1.00,Run,0.180,0.180,0.4204,1.000
0.807,0.013,0.60,0.15,0.15,1.00,Run,0.182,0.182,0.4185,1.000
0.820,0.013,0.60,0.15,0.15,1.00,Run,0.183,0.183,0.4166,1.000
0.832,0.013,0.60,0.15,0.15,1.00,Run,0.185,0.185,0.4147,1.000
