t,dt,desired_v,left,right,distance,state,meas_left,meas_right,err,adapt_gain
0.000,0.000,0.60,1.00,1.00,1.00,Run,0.000,0.000,0.6000,1.000
0.010,0.010,0.60,-0.64,-0.64,1.00,Run,-0.017,-0.017,0.6167,1.000
0.023,0.013,0.60,0.71,0.71,1.00,Run,0.006,0.006,0.5944,1.000
0.036,0.013,0.60,-0.30,-0.30,1.00,Run,-0.004,-0.004,0.6038,1.000
0.048,0.013,0.60,0.45,0.45,1.00,Run,0.010,0.010,0.5896,1.000
0.061,0.013,0.60,-0.10,-0.10,1.00,Run,0.007,0.007,0.5930,1.000
0.073,0.013,0.60,0.32,0.32,1.00,Run,0.017,0.017,0.5832,1.000
0.086,0.013,0.60,0.00,0.00,1.00,Run,0.017,0.017,0.5834,1.000
0.099,0.013,0.60,0.24,0.24,1.00,Run,0.024,0.024,0.5762,1.000
0.111,0.012,0.60,0.06,0.06,1.00,Run,0.025,0.025,0.5746,1.000
0.123,0.012,0.60,0.20,0.20,1.00,Run,0.031,0.031,0.5691,1.000
0.135,0.013,0.60,0.10,0.10,1.00,Run,0.033,0.033,0.5665,1.000
0.146,0.011,0.60,0.18,0.18,1.00,Run,0.038,0.038,0.5621,1.000
0.157,0.010,0.60,0.11,0.11,1.00,Run,0.040,0.040,0.5599,1.000
0.169,0.013,0.60,0.17,0.17,1.00,Run,0.045,0.045,0.5552,1.000
0.182,0.013,0.60,0.12,0.12,1.00,Run,0.048,0.048,0.5521,1.000
0.193,0.011,0.60,0.16,0.16,1.00,Run,0.052,0.052,0.5484,1.000
0.205,0.013,0.60,0.13,0.13,1.00,Run,0.055,0.055,0.5450,1.000
0.218,0.013,0.60,0.15,0.15,1.00,Run,0.059,0.059,0.5411,1.000
0.230,0.013,0.60,0.14,0.14,1.00,Run,0.062,0.062,0.5377,1.000
0.243,0.013,0.60,0.15,0.15,1.00,Run,0.066,0.066,0.5339,1.000
0.253,0.010,0.60,0.14,0.14,1.00,Run,0.069,0.069,0.5311,1.000
0.266,0.013,0.60,0.15,0.15,1.00,Run,0.073,0.073,0.5275,1.000
0.277,0.011,0.60,0.14,0.14,1.00,Run,0.076,0.076,0.5245,1.000
0.290,0.013,0.60,0.15,0.15,1.00,Run,0.079,0.079,0.5210,1.000
0.302,0.013,0.60,0.15,0.15,1.00,Run,0.082,0.082,0.5176,1.000
0.315,0.013,0.60,0.15,0.15,1.00,Run,0.086,0.086,0.5142,1.000
0.327,0.013,0.60,0.15,0.15,1.00,Run,0.089,0.089,0.5109,1.000
0.340,0.013,0.60,0.15,0.15,1.00,Run,0.092,0.092,0.5076,1.000
0.353,0.013,0.60,0.15,0.15,1.00,Run,0.096,0.096,0.5044,1.000
0.365,0.013,0.60,0.15,0.15,1.00,Run,0.099,0.099,0.5012,1.000
0.378,0.013,0.60,0.15,0.15,1.00,Run,0.102,0.102,0.4980,1.000
0.390,0.013,0.60,0.15,0.15,1.00,Run,0.105,0.105,0.4949,1.000
0.403,0.013,0.60,0.15,0.15,1.00,Run,0.108,0.108,0.4918,1.000
0.415,0.013,0.60,0.15,0.15,1.00,Run,0.111,0.111,0.4887,1.000
0.426,0.010,0.60,0.15,0.15,1.00,Run,0.114,0.114,0.4862,1.000
0.438,0.013,0.60,0.15,0.15,1.00,Run,0.117,0.117,0.4832,1.000
