t,dt,desired_v,left,right,distance,state,meas_left,meas_right,err,adapt_gain
0.000,0.000,0.60,1.00,1.00,1.00,Run,0.000,0.000,0.6000,1.000
0.021,0.021,0.60,-0.71,-0.71,1.00,Run,-0.037,-0.037,0.6374,1.000
0.033,0.012,0.60,1.00,1.00,1.00,Run,-0.008,-0.008,0.6079,1.000
0.046,0.013,0.60,-1.00,-1.00,1.00,Run,-0.039,-0.039,0.6389,1.000
0.058,0.013,0.60,1.00,1.00,1.00,Run,-0.007,-0.007,0.6069,1.000
0.071,0.013,0.60,-1.00,-1.00,1.00,Run,-0.039,-0.039,0.6388,1.000
0.083,0.011,0.60,1.00,1.00,1.00,Run,-0.010,-0.010,0.6101,1.000
0.094,0.012,0.60,-1.00,-1.00,1.00,Run,-0.039,-0.039,0.6385,1.000
0.107,0.013,0.60,1.00,1.00,1.00,Run,-0.006,-0.006,0.6055,1.000
0.120,0.013,0.60,-1.00,-1.00,1.00,Run,-0.037,-0.037,0.6366,1.000
0.132,0.012,0.60,1.00,1.00,1.00,Run,-0.005,-0.005,0.6051,1.000
0.145,0.013,0.60,-1.00,-1.00,1.00,Run,-0.036,-0.036,0.6362,1.000
0.157,0.013,0.60,1.00,1.00,1.00,Run,-0.005,-0.005,0.6045,1.000
0.170,0.013,0.60,-1.00,-1.00,1.00,Run,-0.036,-0.036,0.6355,1.000
0.182,0.013,0.60,1.00,1.00,1.00,Run,-0.004,-0.004,0.6039,1.000
0.194,0.012,0.60,-1.00,-1.00,1.00,Run,-0.033,-0.033,0.6331,1.000
0.207,0.013,0.60,1.00,1.00,1.00,Run,-0.001,-0.001,0.6013,1.000
0.219,0.013,0.60,-1.00,-1.00,1.00,Run,-0.032,-0.032,0.6324,1.000
0.232,0.013,0.60,1.00,1.00,1.00,Run,-0.001,-0.001,0.6008,1.000
0.244,0.012,0.60,-1.00,-1.00,1.00,Run,-0.031,-0.031,0.6314,1.000
0.257,0.013,0.60,1.00,1.00,1.00,Run,0.000,0.000,0.5997,1.000
0.269,0.013,0.60,-1.00,-1.00,1.00,Run,-0.031,-0.031,0.6309,1.000
0.282,0.013,0.60,1.00,1.00,1.00,Run,0.001,0.001,0.5993,1.000
0.294,0.012,0.60,-1.00,-1.00,1.00,Run,-0.030,-0.030,0.6299,1.000
0.306,0.012,0.60,1.00,1.00,1.00,Run,-0.000,-0.000,0.6000,1.000
0.319,0.013,0.60,-1.00,-1.00,1.00,Run,-0.031,-0.031,0.6314,1.000
0.331,0.013,0.60,1.00,1.00,1.00,Run,0.000,0.000,0.5998,1.000
0.344,0.013,0.60,-1.00,-1.00,1.00,Run,-0.031,-0.031,0.6309,1.000
0.355,0.012,0.60,1.00,1.00,1.00,Run,-0.001,-0.001,0.6013,1.000
0.369,0.014,0.60,-1.00,-1.00,1.00,Run,-0.036,-0.036,0.6362,1.000
0.381,0.011,0.60,1.00,1.00,1.00,Run,-0.008,-0.008,0.6082,1.000
0.393,0.012,0.60,-1.00,-1.00,1.00,Run,-0.038,-0.038,0.6382,1.000
0.405,0.013,0.60,1.00,1.00,1.00,Run,-0.006,-0.006,0.6064,1.000
0.418,0.013,0.60,-1.00,-1.00,1.00,Run,-0.038,-0.038,0.6375,1.000
0.430,0.013,0.60,1.00,1.00,1.00,Run,-0.006,-0.006,0.6057,1.000
0.443,0.013,0.60,-1.00,-1.00,1.00,Run,-0.037,-0.037,0.6368,1.000
0.454,0.011,0.60,1.00,1.00,1.00,Run,-0.009,-0.009,0.6089,1.000
0.464,0.010,0.60,-1.00,-1.00,1.00,Run,-0.034,-0.034,0.6338,1.000
0.474,0.010,0.60,1.00,1.00,1.00,Run,-0.008,-0.008,0.6084,1.000
0.487,0.013,0.60,-1.00,-1.00,1.00,Run,-0.039,-0.039,0.6394,1.000
0.499,0.013,0.60,1.00,1.00,1.00,Run,-0.008,-0.008,0.6076,1.000
0.512,0.013,0.60,-1.00,-1.00,1.00,Run,-0.039,-0.039,0.6386,1.000
