t,dt,desired_v,left,right,distance,state,meas_left,meas_right,err,adapt_gain
0.000,0.000,0.60,0.36,0.36,1.00,Run,0.000,0.000,0.6000,3.000
0.013,0.013,0.60,0.35,0.35,1.00,Run,0.004,0.004,0.5964,3.000
0.024,0.011,0.60,0.34,0.34,1.00,Run,0.007,0.007,0.5933,3.000
0.035,0.011,0.60,0.33,0.33,1.00,Run,0.010,0.010,0.5904,3.000
0.047,0.013,0.60,0.33,0.33,1.00,Run,0.013,0.013,0.5871,3.000
0.060,0.013,0.60,0.32,0.32,1.00,Run,0.016,0.016,0.5840,3.000
0.072,0.012,0.60,0.32,0.32,1.00,Run,0.019,0.019,0.5809,3.000
0.085,0.013,0.60,0.32,0.32,1.00,Run,0.022,0.022,0.5779,3.000
0.097,0.013,0.60,0.32,0.32,1.00,Run,0.025,0.025,0.5749,3.000
0.110,0.013,0.60,0.32,0.32,1.00,Run,0.028,0.028,0.5719,3.000
0.122,0.012,0.60,0.32,0.32,1.00,Run,0.031,0.031,0.5691,3.000
0.135,0.013,0.60,0.32,0.32,1.00,Run,0.034,0.034,0.5662,3.000
0.147,0.013,0.60,0.32,0.32,1.00,Run,0.037,0.037,0.5634,3.000
0.160,0.013,0.60,0.32,0.32,1.00,Run,0.039,0.039,0.5606,3.000
0.172,0.012,0.60,0.32,0.32,1.00,Run,0.042,0.042,0.5579,3.000
0.183,0.011,0.60,0.33,0.33,1.00,Run,0.044,0.044,0.5556,3.000
0.196,0.013,0.60,0.33,0.33,1.00,Run,0.047,0.047,0.5528,3.000
0.208,0.013,0.60,0.33,0.33,1.00,Run,0.050,0.050,0.5502,3.000
0.220,0.012,0.60,0.33,0.33,1.00,Run,0.052,0.052,0.5476,3.000
0.233,0.013,0.60,0.33,0.33,1.00,Run,0.055,0.055,0.5449,3.000
0.244,0.011,0.60,0.33,0.33,1.00,Run,0.057,0.057,0.5427,3.000
0.256,0.012,0.60,0.33,0.33,1.00,Run,0.060,0.060,0.5402,3.000
0.268,0.012,0.60,0.34,0.34,1.00,Run,0.062,0.062,0.5377,3.000
