t,dt,desired_v,left,right,distance,state,meas_left,meas_right,err,adapt_gain
0.000,0.000,0.30,1.00,1.00,1.00,Run,0.000,0.000,0.3000,3.000
0.012,0.012,0.30,-0.92,-0.92,1.00,Run,-0.012,-0.012,0.3123,3.000
0.025,0.013,0.30,0.60,0.60,1.00,Run,-0.004,-0.004,0.3035,3.000
0.037,0.013,0.30,0.01,0.01,1.00,Run,-0.003,-0.003,0.3032,3.000
0.048,0.011,0.30,0.25,0.25,1.00,Run,-0.000,-0.000,0.3001,3.000
0.061,0.012,0.30,0.14,0.14,1.00,Run,0.002,0.002,0.2983,3.000
0.071,0.010,0.30,0.19,0.19,1.00,Run,0.004,0.004,0.2962,3.000
0.082,0.011,0.30,0.16,0.16,1.00,Run,0.005,0.005,0.2945,3.000
0.094,0.013,0.30,0.16,0.16,1.00,Run,0.007,0.007,0.2925,3.000
0.107,0.013,0.30,0.16,0.16,1.00,Run,0.009,0.009,0.2906,3.000
0.118,0.011,0.30,0.16,0.16,1.00,Run,0.011,0.011,0.2890,3.000
0.131,0.012,0.30,0.16,0.16,1.00,Run,0.013,0.013,0.2873,3.000
0.143,0.013,0.30,0.16,0.16,1.00,Run,0.014,0.014,0.2857,3.000
0.156,0.013,0.30,0.16,0.16,1.00,Run,0.016,0.016,0.2842,3.000
0.167,0.011,0.30,0.16,0.16,1.00,Run,0.017,0.017,0.2829,3.000
0.179,0.012,0.30,0.15,0.15,1.00,Run,0.019,0.019,0.2815,3.000
0.191,0.012,0.30,0.15,0.15,1.00,Run,0.020,0.020,0.2801,3.000
0.202,0.010,0.30,0.16,0.16,1.00,Run,0.021,0.021,0.2791,3.000
0.218,0.016,0.30,0.15,0.15,1.00,Run,0.023,0.023,0.2775,3.000
0.237,0.019,0.30,0.15,0.15,1.00,Run,0.024,0.024,0.2757,3.000
0.247,0.010,0.30,0.16,0.16,1.00,Run,0.025,0.025,0.2748,3.000
0.261,0.013,0.30,0.15,0.15,1.00,Run,0.026,0.026,0.2737,3.000
0.274,0.013,0.30,0.15,0.15,1.00,Run,0.027,0.027,0.2726,3.000
0.284,0.010,0.30,0.15,0.15,1.00,Run,0.028,0.028,0.2718,3.000
0.296,0.012,0.30,0.15,0.15,1.00,Run,0.029,0.029,0.2709,3.000
0.308,0.012,0.30,0.15,0.15,1.00,Run,0.030,0.030,0.2700,3.000
0.319,0.010,0.30,0.15,0.15,1.00,Run,0.031,0.031,0.2692,3.000
0.333,0.014,0.30,0.15,0.15,1.00,Run,0.032,0.032,0.2683,3.000
0.345,0.013,0.30,0.16,0.16,1.00,Run,0.033,0.033,0.2674,3.000
0.357,0.011,0.30,0.16,0.16,1.00,Run,0.033,0.033,0.2667,3.000
0.367,0.010,0.30,0.16,0.16,1.00,Run,0.034,0.034,0.2661,3.000
0.380,0.013,0.30,0.16,0.16,1.00,Run,0.035,0.035,0.2654,3.000
0.392,0.013,0.30,0.16,0.16,1.00,Run,0.035,0.035,0.2647,3.000
0.405,0.013,0.30,0.16,0.16,1.00,Run,0.036,0.036,0.2640,3.000
0.417,0.012,0.30,0.16,0.16,1.00,Run,0.037,0.037,0.2633,3.000
0.429,0.013,0.30,0.16,0.16,1.00,Run,0.037,0.037,0.2627,3.000
0.442,0.013,0.30,0.16,0.16,1.00,Run,0.038,0.038,0.2621,3.000
0.454,0.012,0.30,0.16,0.16,1.00,Run,0.038,0.038,0.2615,3.000
0.467,0.012,0.30,0.16,0.16,1.00,Run,0.039,0.039,0.2610,3.000
0.479,0.013,0.30,0.16,0.16,1.00,Run,0.040,0.040,0.2604,3.000
0.491,0.012,0.30,0.16,0.16,1.00,Run,0.040,0.040,0.2599,3.000
0.504,0.013,0.30,0.16,0.16,1.00,Run,0.041,0.041,0.2594,3.000
0.514,0.010,0.30,0.16,0.16,1.00,Run,0.041,0.041,0.2590,3.000
0.524,0.010,0.30,0.16,0.16,1.00,Run,0.041,0.041,0.2586,3.000
0.537,0.013,0.30,0.16,0.16,1.00,Run,0.042,0.042,0.2582,3.000
0.549,0.013,0.30,0.16,0.16,1.00,Run,0.042,0.042,0.2577,3.000
0.562,0.013,0.30,0.16,0.16,1.00,Run,0.043,0.043,0.2573,3.000
0.574,0.013,0.30,0.16,0.16,1.00,Run,0.043,0.043,0.2569,3.000
