t,dt,desired_v,left,right,distance,state,meas_left,meas_right,err,adapt_gain
0.000,0.000,0.60,0.36,0.36,1.00,Run,0.000,0.000,0.6000,3.000
0.012,0.012,0.60,0.35,0.35,1.00,Run,0.003,0.003,0.5966,3.000
0.023,0.011,0.60,0.34,0.34,1.00,Run,0.007,0.007,0.5935,3.000
0.036,0.013,0.60,0.33,0.33,1.00,Run,0.010,0.010,0.5902,3.000
0.048,0.012,0.60,0.32,0.32,1.00,Run,0.013,0.013,0.5870,3.000
0.061,0.013,0.60,0.32,0.32,1.00,Run,0.016,0.016,0.5839,3.000
0.072,0.011,0.60,0.32,0.32,1.00,Run,0.019,0.019,0.5813,3.000
0.084,0.013,0.60,0.32,0.32,1.00,Run,0.022,0.022,0.5783,3.000
0.094,0.010,0.60,0.31,0.31,1.00,Run,0.024,0.024,0.5759,3.000
0.107,0.013,0.60,0.31,0.31,1.00,Run,0.027,0.027,0.5730,3.000
0.120,0.013,0.60,0.31,0.31,1.00,Run,0.030,0.030,0.5702,3.000
0.132,0.013,0.60,0.31,0.31,1.00,Run,0.033,0.033,0.5674,3.000
0.145,0.013,0.60,0.31,0.31,1.00,Run,0.035,0.035,0.5646,3.000
0.157,0.013,0.60,0.31,0.31,1.00,Run,0.038,0.038,0.5619,3.000
0.170,0.013,0.60,0.31,0.31,1.00,Run,0.041,0.041,0.5593,3.000
0.180,0.010,0.60,0.31,0.31,1.00,Run,0.043,0.043,0.5571,3.000
0.193,0.013,0.60,0.31,0.31,1.00,Run,0.045,0.045,0.5545,3.000
0.205,0.013,0.60,0.31,0.31,1.00,Run,0.048,0.048,0.5520,3.000
0.218,0.013,0.60,0.32,0.32,1.00,Run,0.051,0.051,0.5495,3.000
0.230,0.012,0.60,0.32,0.32,1.00,Run,0.053,0.053,0.5470,3.000
0.243,0.013,0.60,0.32,0.32,1.00,Run,0.055,0.055,0.5445,3.000
0.255,0.013,0.60,0.32,0.32,1.00,Run,0.058,0.058,0.5421,3.000
0.268,0.013,0.60,0.32,0.32,1.00,Run,0.060,0.060,0.5397,3.000
0.280,0.012,0.60,0.32,0.32,1.00,Run,0.063,0.063,0.5374,3.000
0.293,0.012,0.60,0.32,0.32,1.00,Run,0.065,0.065,0.5351,3.000
0.305,0.013,0.60,0.32,0.32,1.00,Run,0.067,0.067,0.5328,3.000
0.318,0.013,0.60,0.32,0.32,1.00,Run,0.070,0.070,0.5305,3.000
0.329,0.011,0.60,0.32,0.32,1.00,Run,0.072,0.072,0.5284,3.000
0.340,0.011,0.60,0.32,0.32,1.00,Run,0.074,0.074,0.5265,3.000
0.352,0.012,0.60,0.32,0.32,1.00,Run,0.076,0.076,0.5244,3.000
0.365,0.013,0.60,0.32,0.32,1.00,Run,0.078,0.078,0.5222,3.000
0.377,0.013,0.60,0.32,0.32,1.00,Run,0.080,0.080,0.5200,3.000
0.390,0.013,0.60,0.33,0.33,1.00,Run,0.082,0.082,0.5179,3.000
0.402,0.013,0.60,0.33,0.33,1.00,Run,0.084,0.084,0.5158,3.000
0.415,0.013,0.60,0.33,0.33,1.00,Run,0.086,0.086,0.5137,3.000
0.428,0.013,0.60,0.33,0.33,1.00,Run,0.088,0.088,0.5116,3.000
0.438,0.010,0.60,0.33,0.33,1.00,Run,0.090,0.090,0.5100,3.000
0.450,0.013,0.60,0.33,0.33,1.00,Run,0.092,0.092,0.5080,3.000
0.462,0.012,0.60,0.33,0.33,1.00,Run,0.094,0.094,0.5061,3.000
0.474,0.013,0.60,0.33,0.33,1.00,Run,0.096,0.096,0.5042,3.000
0.487,0.013,0.60,0.33,0.33,1.00,Run,0.098,0.098,0.5022,3.000
0.500,0.013,0.60,0.33,0.33,1.00,Run,0.100,0.100,0.5003,3.000
0.510,0.011,0.60,0.33,0.33,1.00,Run,0.101,0.101,0.4987,3.000
0.523,0.013,0.60,0.33,0.33,1.00,Run,0.103,0.103,0.4968,3.000
0.535,0.013,0.60,0.33,0.33,1.00,Run,0.105,0.105,0.4949,3.000
0.548,0.013,0.60,0.34,0.34,1.00,Run,0.107,0.107,0.4931,3.000
0.560,0.012,0.60,0.34,0.34,1.00,Run,0.109,0.109,0.4913,3.000
0.570,0.010,0.60,0.34,0.34,1.00,Run,0.110,0.110,0.4898,3.000
0.583,0.013,0.60,0.34,0.34,1.00,Run,0.112,0.112,0.4880,3.000
0.596,0.013,0.60,0.34,0.34,1.00,Run,0.114,0.114,0.4863,3.000
0.608,0.013,0.60,0.34,0.34,1.00,Run,0.115,0.115,0.4845,3.000
0.620,0.012,0.60,0.34,0.34,1.00,Run,0.117,0.117,0.4829,3.000
0.633,0.013,0.60,0.34,0.34,1.00,Run,0.119,0.119,0.4812,3.000
0.645,0.013,0.60,0.34,0.34,1.00,Run,0.121,0.121,0.4795,3.000
0.658,0.013,0.60,0.34,0.34,1.00,Run,0.122,0.122,0.4778,3.000
0.670,0.012,0.60,0.34,0.34,1.00,Run,0.124,0.124,0.4762,3.000
0.683,0.013,0.60,0.34,0.34,1.00,Run,0.125,0.125,0.4745,3.000
0.694,0.011,0.60,0.34,0.34,1.00,Run,0.127,0.127,0.4731,3.000
0.705,0.011,0.60,0.34,0.34,1.00,Run,0.128,0.128,0.4717,3.000
0.716,0.011,0.60,0.35,0.35,1.00,Run,0.130,0.130,0.4704,3.000
0.727,0.012,0.60,0.35,0.35,1.00,Run,0.131,0.131,0.4689,3.000
0.739,0.012,0.60,0.35,0.35,1.00,Run,0.133,0.133,0.4674,3.000
0.750,0.011,0.60,0.35,0.35,1.00,Run,0.134,0.134,0.4661,3.000
0.760,0.010,0.60,0.35,0.35,1.00,Run,0.135,0.135,0.4648,3.000
0.771,0.011,0.60,0.35,0.35,1.00,Run,0.136,0.136,0.4635,3.000
0.784,0.012,0.60,0.35,0.35,1.00,Run,0.138,0.138,0.4620,3.000
