t,dt,desired_v,left,right,distance,state,meas_left,meas_right,err,adapt_gain
0.000,0.000,0.60,1.00,1.00,1.00,Run,0.000,0.000,0.6000,3.000
0.011,0.011,0.60,-1.00,-1.00,1.00,Run,-0.018,-0.018,0.6176,3.000
0.022,0.011,0.60,1.00,1.00,1.00,Run,0.002,0.002,0.5977,3.000
0.034,0.012,0.60,-1.00,-1.00,1.00,Run,-0.009,-0.009,0.6091,3.000
0.046,0.013,0.60,1.00,1.00,1.00,Run,0.005,0.005,0.5946,3.000
0.058,0.011,0.60,-0.57,-0.57,1.00,Run,0.000,0.000,0.6000,3.000
0.070,0.013,0.60,0.95,0.95,1.00,Run,0.010,0.010,0.5902,3.000
0.083,0.013,0.60,-0.17,-0.17,1.00,Run,0.008,0.008,0.5921,3.000
0.096,0.013,0.60,0.65,0.65,1.00,Run,0.015,0.015,0.5855,3.000
0.108,0.012,0.60,0.04,0.04,1.00,Run,0.015,0.015,0.5853,3.000
0.120,0.012,0.60,0.51,0.51,1.00,Run,0.019,0.019,0.5805,3.000
0.132,0.013,0.60,0.15,0.15,1.00,Run,0.021,0.021,0.5793,3.000
0.145,0.013,0.60,0.41,0.41,1.00,Run,0.025,0.025,0.5753,3.000
0.157,0.013,0.60,0.22,0.22,1.00,Run,0.027,0.027,0.5734,3.000
0.169,0.012,0.60,0.37,0.37,1.00,Run,0.030,0.030,0.5703,3.000
0.182,0.013,0.60,0.25,0.25,1.00,Run,0.032,0.032,0.5681,3.000
0.194,0.012,0.60,0.34,0.34,1.00,Run,0.035,0.035,0.5652,3.000
0.207,0.013,0.60,0.27,0.27,1.00,Run,0.037,0.037,0.5629,3.000
0.219,0.013,0.60,0.32,0.32,1.00,Run,0.040,0.040,0.5601,3.000
0.232,0.012,0.60,0.29,0.29,1.00,Run,0.042,0.042,0.5578,3.000
0.244,0.013,0.60,0.31,0.31,1.00,Run,0.045,0.045,0.5552,3.000
0.257,0.013,0.60,0.29,0.29,1.00,Run,0.047,0.047,0.5529,3.000
0.269,0.013,0.60,0.31,0.31,1.00,Run,0.050,0.050,0.5504,3.000
0.282,0.013,0.60,0.30,0.30,1.00,Run,0.052,0.052,0.5481,3.000
0.294,0.012,0.60,0.30,0.30,1.00,Run,0.054,0.054,0.5459,3.000
0.306,0.013,0.60,0.30,0.30,1.00,Run,0.056,0.056,0.5436,3.000
0.318,0.011,0.60,0.30,0.30,1.00,Run,0.058,0.058,0.5416,3.000
0.330,0.012,0.60,0.30,0.30,1.00,Run,0.061,0.061,0.5395,3.000
0.342,0.012,0.60,0.30,0.30,1.00,Run,0.063,0.063,0.5374,3.000
0.355,0.013,0.60,0.30,0.30,1.00,Run,0.065,0.065,0.5352,3.000
0.366,0.011,0.60,0.30,0.30,1.00,Run,0.067,0.067,0.5333,3.000
0.378,0.013,0.60,0.30,0.30,1.00,Run,0.069,0.069,0.5312,3.000
0.391,0.013,0.60,0.30,0.30,1.00,Run,0.071,0.071,0.5292,3.000
0.403,0.012,0.60,0.30,0.30,1.00,Run,0.073,0.073,0.5272,3.000
