t,dt,desired_v,left,right,distance,state,meas_left,meas_right,err,adapt_gain
0.000,0.000,0.60,0.54,0.54,1.00,Run,0.000,0.000,0.6000,3.000
0.012,0.012,0.60,0.51,0.51,1.00,Run,0.005,0.005,0.5949,3.000
0.025,0.013,0.60,0.49,0.49,1.00,Run,0.010,0.010,0.5899,3.000
0.037,0.013,0.60,0.47,0.47,1.00,Run,0.015,0.015,0.5852,3.000
0.050,0.012,0.60,0.46,0.46,1.00,Run,0.019,0.019,0.5807,3.000
0.061,0.012,0.60,0.45,0.45,1.00,Run,0.023,0.023,0.5766,3.000
0.074,0.013,0.60,0.45,0.45,1.00,Run,0.028,0.028,0.5723,3.000
0.087,0.013,0.60,0.44,0.44,1.00,Run,0.032,0.032,0.5681,3.000
0.098,0.012,0.60,0.44,0.44,1.00,Run,0.036,0.036,0.5643,3.000
0.111,0.012,0.60,0.44,0.44,1.00,Run,0.040,0.040,0.5604,3.000
0.123,0.013,0.60,0.44,0.44,1.00,Run,0.044,0.044,0.5565,3.000
0.136,0.013,0.60,0.44,0.44,1.00,Run,0.047,0.047,0.5526,3.000
0.148,0.013,0.60,0.44,0.44,1.00,Run,0.051,0.051,0.5488,3.000
0.158,0.010,0.60,0.44,0.44,1.00,Run,0.054,0.054,0.5458,3.000
0.171,0.012,0.60,0.44,0.44,1.00,Run,0.058,0.058,0.5422,3.000
0.183,0.013,0.60,0.44,0.44,1.00,Run,0.061,0.061,0.5385,3.000
0.195,0.012,0.60,0.44,0.44,1.00,Run,0.065,0.065,0.5352,3.000
0.207,0.013,0.60,0.44,0.44,1.00,Run,0.068,0.068,0.5316,3.000
0.218,0.011,0.60,0.44,0.44,1.00,Run,0.071,0.071,0.5285,3.000
0.230,0.012,0.60,0.44,0.44,1.00,Run,0.075,0.075,0.5253,3.000
0.243,0.013,0.60,0.44,0.44,1.00,Run,0.078,0.078,0.5218,3.000
0.255,0.013,0.60,0.45,0.45,1.00,Run,0.082,0.082,0.5184,3.000
0.268,0.013,0.60,0.45,0.45,1.00,Run,0.085,0.085,0.5150,3.000
