t,dt,desired_v,left,right,distance,state,meas_left,meas_right,err,adapt_gain
0.000,0.000,0.60,0.18,0.18,1.00,Run,0.000,0.000,0.6000,3.000
0.013,0.013,0.60,0.18,0.18,1.00,Run,0.002,0.002,0.5982,3.000
0.025,0.013,0.60,0.17,0.17,1.00,Run,0.004,0.004,0.5964,3.000
0.038,0.013,0.60,0.17,0.17,1.00,Run,0.005,0.005,0.5947,3.000
0.050,0.013,0.60,0.17,0.17,1.00,Run,0.007,0.007,0.5930,3.000
0.061,0.011,0.60,0.17,0.17,1.00,Run,0.008,0.008,0.5916,3.000
0.073,0.013,0.60,0.17,0.17,1.00,Run,0.010,0.010,0.5900,3.000
0.086,0.013,0.60,0.17,0.17,1.00,Run,0.012,0.012,0.5884,3.000
0.099,0.013,0.60,0.17,0.17,1.00,Run,0.013,0.013,0.5869,3.000
0.111,0.013,0.60,0.17,0.17,1.00,Run,0.015,0.015,0.5854,3.000
0.124,0.013,0.60,0.17,0.17,1.00,Run,0.016,0.016,0.5839,3.000
0.136,0.013,0.60,0.16,0.16,1.00,Run,0.018,0.018,0.5824,3.000
0.147,0.011,0.60,0.16,0.16,1.00,Run,0.019,0.019,0.5811,3.000
0.160,0.013,0.60,0.16,0.16,1.00,Run,0.020,0.020,0.5797,3.000
0.173,0.013,0.60,0.16,0.16,1.00,Run,0.022,0.022,0.5783,3.000
0.185,0.013,0.60,0.16,0.16,1.00,Run,0.023,0.023,0.5770,3.000
0.198,0.013,0.60,0.16,0.16,1.00,Run,0.024,0.024,0.5756,3.000
0.210,0.013,0.60,0.16,0.16,1.00,Run,0.026,0.026,0.5743,3.000
0.223,0.013,0.60,0.16,0.16,1.00,Run,0.027,0.027,0.5730,3.000
0.235,0.013,0.60,0.16,0.16,1.00,Run,0.028,0.028,0.5717,3.000
0.248,0.013,0.60,0.16,0.16,1.00,Run,0.030,0.030,0.5705,3.000
0.258,0.010,0.60,0.16,0.16,1.00,Run,0.031,0.031,0.5694,3.000
0.271,0.013,0.60,0.16,0.16,1.00,Run,0.032,0.032,0.5682,3.000
0.283,0.013,0.60,0.16,0.16,1.00,Run,0.033,0.033,0.5670,3.000
