t,dt,desired_v,left,right,distance,state,meas_left,meas_right,err,adapt_gain
0.000,0.000,0.30,0.18,0.18,1.00,Run,0.000,0.000,0.3000,3.000
0.013,0.013,0.30,0.17,0.17,1.00,Run,0.002,0.002,0.2976,3.000
0.025,0.013,0.30,0.17,0.17,1.00,Run,0.005,0.005,0.2954,3.000
0.038,0.013,0.30,0.16,0.16,1.00,Run,0.007,0.007,0.2934,3.000
0.049,0.011,0.30,0.16,0.16,1.00,Run,0.008,0.008,0.2916,3.000
0.061,0.012,0.30,0.16,0.16,1.00,Run,0.010,0.010,0.2899,3.000
0.074,0.013,0.30,0.16,0.16,1.00,Run,0.012,0.012,0.2882,3.000
0.086,0.013,0.30,0.16,0.16,1.00,Run,0.013,0.013,0.2865,3.000
0.099,0.013,0.30,0.16,0.16,1.00,Run,0.015,0.015,0.2850,3.000
0.111,0.012,0.30,0.15,0.15,1.00,Run,0.016,0.016,0.2835,3.000
0.123,0.013,0.30,0.15,0.15,1.00,Run,0.018,0.018,0.2821,3.000
0.136,0.013,0.30,0.15,0.15,1.00,Run,0.019,0.019,0.2807,3.000
0.148,0.013,0.30,0.15,0.15,1.00,Run,0.021,0.021,0.2794,3.000
0.159,0.011,0.30,0.15,0.15,1.00,Run,0.022,0.022,0.2783,3.000
0.172,0.013,0.30,0.15,0.15,1.00,Run,0.023,0.023,0.2771,3.000
0.184,0.012,0.30,0.15,0.15,1.00,Run,0.024,0.024,0.2760,3.000
0.197,0.013,0.30,0.15,0.15,1.00,Run,0.025,0.025,0.2749,3.000
0.208,0.012,0.30,0.15,0.15,1.00,Run,0.026,0.026,0.2739,3.000
0.221,0.012,0.30,0.15,0.15,1.00,Run,0.027,0.027,0.2728,3.000
0.233,0.013,0.30,0.15,0.15,1.00,Run,0.028,0.028,0.2719,3.000
0.246,0.013,0.30,0.15,0.15,1.00,Run,0.029,0.029,0.2709,3.000
0.258,0.013,0.30,0.15,0.15,1.00,Run,0.030,0.030,0.2700,3.000
0.271,0.012,0.30,0.15,0.15,1.00,Run,0.031,0.031,0.2691,3.000
0.281,0.010,0.30,0.15,0.15,1.00,Run,0.032,0.032,0.2684,3.000
0.291,0.010,0.30,0.15,0.15,1.00,Run,0.032,0.032,0.2677,3.000
0.304,0.013,0.30,0.16,0.16,1.00,Run,0.033,0.033,0.2669,3.000
0.316,0.013,0.30,0.16,0.16,1.00,Run,0.034,0.034,0.2662,3.000
0.329,0.013,0.30,0.16,0.16,1.00,Run,0.035,0.035,0.2654,3.000
0.341,0.013,0.30,0.16,0.16,1.00,Run,0.035,0.035,0.2647,3.000
0.354,0.013,0.30,0.16,0.16,1.00,Run,0.036,0.036,0.2641,3.000
0.366,0.013,0.30,0.16,0.16,1.00,Run,0.037,0.037,0.2634,3.000
0.379,0.013,0.30,0.16,0.16,1.00,Run,0.037,0.037,0.2628,3.000
0.389,0.010,0.30,0.16,0.16,1.00,Run,0.038,0.038,0.2623,3.000
0.400,0.011,0.30,0.16,0.16,1.00,Run,0.038,0.038,0.2617,3.000
0.412,0.012,0.30,0.16,0.16,1.00,Run,0.039,0.039,0.2612,3.000
0.425,0.013,0.30,0.16,0.16,1.00,Run,0.039,0.039,0.2607,3.000
0.437,0.013,0.30,0.16,0.16,1.00,Run,0.040,0.040,0.2601,3.000
0.449,0.012,0.30,0.16,0.16,1.00,Run,0.040,0.040,0.2596,3.000
0.462,0.013,0.30,0.16,0.16,1.00,Run,0.041,0.041,0.2591,3.000
0.472,0.011,0.30,0.16,0.16,1.00,Run,0.041,0.041,0.2587,3.000
