t,dt,desired_v,left,right,distance,state,meas_left,meas_right,err,adapt_gain
0.000,0.000,0.30,0.09,0.09,1.00,Run,0.000,0.000,0.3000,3.000
0.012,0.012,0.30,0.09,0.09,1.00,Run,0.001,0.001,0.2988,3.000
0.025,0.013,0.30,0.09,0.09,1.00,Run,0.002,0.002,0.2977,3.000
0.038,0.013,0.30,0.09,0.09,1.00,Run,0.003,0.003,0.2966,3.000
0.050,0.013,0.30,0.09,0.09,1.00,Run,0.004,0.004,0.2955,3.000
0.063,0.013,0.30,0.09,0.09,1.00,Run,0.005,0.005,0.2945,3.000
0.075,0.013,0.30,0.09,0.09,1.00,Run,0.006,0.006,0.2936,3.000
0.087,0.012,0.30,0.09,0.09,1.00,Run,0.007,0.007,0.2928,3.000
0.099,0.013,0.30,0.08,0.08,1.00,Run,0.008,0.008,0.2919,3.000
0.112,0.013,0.30,0.08,0.08,1.00,Run,0.009,0.009,0.2911,3.000
0.125,0.013,0.30,0.08,0.08,1.00,Run,0.010,0.010,0.2903,3.000
0.136,0.011,0.30,0.09,0.09,1.00,Run,0.010,0.010,0.2896,3.000
0.148,0.012,0.30,0.09,0.09,1.00,Run,0.011,0.011,0.2889,3.000
0.161,0.013,0.30,0.09,0.09,1.00,Run,0.012,0.012,0.2882,3.000
0.173,0.013,0.30,0.09,0.09,1.00,Run,0.013,0.013,0.2875,3.000
0.185,0.012,0.30,0.09,0.09,1.00,Run,0.013,0.013,0.2869,3.000
0.197,0.012,0.30,0.09,0.09,1.00,Run,0.014,0.014,0.2863,3.000
0.210,0.013,0.30,0.09,0.09,1.00,Run,0.014,0.014,0.2856,3.000
0.222,0.013,0.30,0.09,0.09,1.00,Run,0.015,0.015,0.2851,3.000
0.235,0.013,0.30,0.09,0.09,1.00,Run,0.016,0.016,0.2845,3.000
0.247,0.013,0.30,0.09,0.09,1.00,Run,0.016,0.016,0.2839,3.000
0.260,0.013,0.30,0.09,0.09,1.00,Run,0.017,0.017,0.2834,3.000
0.272,0.013,0.30,0.09,0.09,1.00,Run,0.017,0.017,0.2829,3.000
0.285,0.013,0.30,0.09,0.09,1.00,Run,0.018,0.018,0.2824,3.000
0.297,0.013,0.30,0.09,0.09,1.00,Run,0.018,0.018,0.2819,3.000
0.310,0.013,0.30,0.09,0.09,1.00,Run,0.019,0.019,0.2815,3.000
0.322,0.012,0.30,0.09,0.09,1.00,Run,0.019,0.019,0.2810,3.000
0.335,0.013,0.30,0.09,0.09,1.00,Run,0.019,0.019,0.2806,3.000
0.346,0.011,0.30,0.09,0.09,1.00,Run,0.020,0.020,0.2803,3.000
0.358,0.013,0.30,0.09,0.09,1.00,Run,0.020,0.020,0.2799,3.000
0.371,0.013,0.30,0.09,0.09,1.00,Run,0.021,0.021,0.2795,3.000
0.383,0.013,0.30,0.09,0.09,1.00,Run,0.021,0.021,0.2791,3.000
0.396,0.012,0.30,0.09,0.09,1.00,Run,0.021,0.021,0.2787,3.000
0.408,0.012,0.30,0.09,0.09,1.00,Run,0.022,0.022,0.2784,3.000
0.421,0.013,0.30,0.09,0.09,1.00,Run,0.022,0.022,0.2780,3.000
