t,dt,desired_v,left,right,distance,state,meas_left,meas_right,err,adapt_gain
0.000,0.000,0.30,1.00,1.00,1.00,Run,0.000,0.000,0.3000,3.000
0.011,0.011,0.30,-1.00,-1.00,1.00,Run,-0.025,-0.025,0.3253,3.000
0.024,0.013,0.30,1.00,1.00,1.00,Run,0.002,0.002,0.2978,3.000
0.034,0.010,0.30,-1.00,-1.00,1.00,Run,-0.013,-0.013,0.3129,3.000
0.047,0.013,0.30,1.00,1.00,1.00,Run,0.006,0.006,0.2944,3.000
0.059,0.013,0.30,-0.64,-0.64,1.00,Run,-0.003,-0.003,0.3034,3.000
0.070,0.011,0.30,0.90,0.90,1.00,Run,0.007,0.007,0.2925,3.000
0.083,0.013,0.30,-0.34,-0.34,1.00,Run,0.003,0.003,0.2974,3.000
0.095,0.012,0.30,0.59,0.59,1.00,Run,0.010,0.010,0.2896,3.000
0.108,0.013,0.30,-0.11,-0.11,1.00,Run,0.009,0.009,0.2915,3.000
0.120,0.012,0.30,0.41,0.41,1.00,Run,0.014,0.014,0.2863,3.000
0.132,0.012,0.30,0.01,0.01,1.00,Run,0.013,0.013,0.2866,3.000
0.145,0.013,0.30,0.31,0.31,1.00,Run,0.017,0.017,0.2829,3.000
0.157,0.012,0.30,0.09,0.09,1.00,Run,0.018,0.018,0.2824,3.000
0.169,0.013,0.30,0.26,0.26,1.00,Run,0.020,0.020,0.2797,3.000
0.182,0.012,0.30,0.13,0.13,1.00,Run,0.021,0.021,0.2787,3.000
0.194,0.012,0.30,0.22,0.22,1.00,Run,0.023,0.023,0.2766,3.000
0.207,0.013,0.30,0.15,0.15,1.00,Run,0.025,0.025,0.2755,3.000
0.219,0.013,0.30,0.21,0.21,1.00,Run,0.026,0.026,0.2737,3.000
0.230,0.011,0.30,0.16,0.16,1.00,Run,0.027,0.027,0.2727,3.000
0.242,0.012,0.30,0.20,0.20,1.00,Run,0.029,0.029,0.2712,3.000
0.255,0.013,0.30,0.17,0.17,1.00,Run,0.030,0.030,0.2700,3.000
0.267,0.013,0.30,0.19,0.19,1.00,Run,0.031,0.031,0.2687,3.000
0.280,0.013,0.30,0.17,0.17,1.00,Run,0.032,0.032,0.2676,3.000
0.290,0.010,0.30,0.19,0.19,1.00,Run,0.033,0.033,0.2666,3.000
0.301,0.011,0.30,0.18,0.18,1.00,Run,0.034,0.034,0.2657,3.000
0.314,0.013,0.30,0.18,0.18,1.00,Run,0.035,0.035,0.2645,3.000
0.326,0.013,0.30,0.18,0.18,1.00,Run,0.036,0.036,0.2636,3.000
0.339,0.012,0.30,0.18,0.18,1.00,Run,0.037,0.037,0.2626,3.000
0.351,0.013,0.30,0.18,0.18,1.00,Run,0.038,0.038,0.2617,3.000
0.362,0.011,0.30,0.18,0.18,1.00,Run,0.039,0.039,0.2609,3.000
0.375,0.012,0.30,0.18,0.18,1.00,Run,0.040,0.040,0.2600,3.000
0.387,0.013,0.30,0.18,0.18,1.00,Run,0.041,0.041,0.2592,3.000
0.400,0.013,0.30,0.18,0.18,1.00,Run,0.042,0.042,0.2584,3.000
0.411,0.011,0.30,0.18,0.18,1.00,Run,0.042,0.042,0.2577,3.000
0.424,0.013,0.30,0.18,0.18,1.00,Run,0.043,0.043,0.2570,3.000
0.434,0.010,0.30,0.18,0.18,1.00,Run,0.044,0.044,0.2564,3.000
0.447,0.013,0.30,0.18,0.18,1.00,Run,0.044,0.044,0.2557,3.000
0.459,0.013,0.30,0.18,0.18,1.00,Run,0.045,0.045,0.2551,3.000
0.470,0.011,0.30,0.18,0.18,1.00,Run,0.045,0.045,0.2546,3.000
0.483,0.013,0.30,0.18,0.18,1.00,Run,0.046,0.046,0.2540,3.000
0.495,0.013,0.30,0.18,0.18,1.00,Run,0.047,0.047,0.2534,3.000
0.508,0.013,0.30,0.18,0.18,1.00,Run,0.047,0.047,0.2528,3.000
0.520,0.013,0.30,0.18,0.18,1.00,Run,0.048,0.048,0.2523,3.000
0.533,0.013,0.30,0.18,0.18,1.00,Run,0.048,0.048,0.2518,3.000
0.545,0.013,0.30,0.18,0.18,1.00,Run,0.049,0.049,0.2513,3.000
0.557,0.011,0.30,0.18,0.18,1.00,Run,0.049,0.049,0.2509,3.000
0.569,0.013,0.30,0.18,0.18,1.00,Run,0.050,0.050,0.2505,3.000
0.580,0.011,0.30,0.18,0.18,1.00,Run,0.050,0.050,0.2501,3.000
0.593,0.013,0.30,0.18,0.18,1.00,Run,0.050,0.050,0.2497,3.000
0.603,0.011,0.30,0.18,0.18,1.00,Run,0.051,0.051,0.2493,3.000
0.615,0.012,0.30,0.18,0.18,1.00,Run,0.051,0.051,0.2490,3.000
0.628,0.013,0.30,0.18,0.18,1.00,Run,0.051,0.051,0.2486,3.000
0.640,0.012,0.30,0.18,0.18,1.00,Run,0.052,0.052,0.2483,3.000
0.653,0.013,0.30,0.18,0.18,1.00,Run,0.052,0.052,0.2479,3.000
0.665,0.013,0.30,0.18,0.18,1.00,Run,0.052,0.052,0.2476,3.000
0.678,0.013,0.30,0.18,0.18,1.00,Run,0.053,0.053,0.2473,3.000
0.690,0.012,0.30,0.18,0.18,1.00,Run,0.053,0.053,0.2470,3.000
0.703,0.013,0.30,0.18,0.18,1.00,Run,0.053,0.053,0.2467,3.000
0.715,0.013,0.30,0.18,0.18,1.00,Run,0.054,0.054,0.2464,3.000
0.728,0.013,0.30,0.18,0.18,1.00,Run,0.054,0.054,0.2462,3.000
0.740,0.012,0.30,0.18,0.18,1.00,Run,0.054,0.054,0.2459,3.000
0.753,0.013,0.30,0.18,0.18,1.00,Run,0.054,0.054,0.2457,3.000
0.765,0.012,0.30,0.18,0.18,1.00,Run,0.055,0.055,0.2454,3.000
0.778,0.013,0.30,0.18,0.18,1.00,Run,0.055,0.055,0.2452,3.000
0.790,0.012,0.30,0.18,0.18,1.00,Run,0.055,0.055,0.2450,3.000
0.802,0.012,0.30,0.18,0.18,1.00,Run,0.055,0.055,0.2448,3.000
0.815,0.012,0.30,0.18,0.18,1.00,Run,0.055,0.055,0.2446,3.000
0.826,0.011,0.30,0.18,0.18,1.00,Run,0.056,0.056,0.2444,3.000
0.838,0.013,0.30,0.18,0.18,1.00,Run,0.056,0.056,0.2443,3.000
0.851,0.013,0.30,0.18,0.18,1.00,Run,0.056,0.056,0.2441,3.000
0.863,0.013,0.30,0.18,0.18,1.00,Run,0.056,0.056,0.2439,3.000
0.874,0.011,0.30,0.18,0.18,1.00,Run,0.056,0.056,0.2438,3.000
0.887,0.013,0.30,0.18,0.18,1.00,Run,0.056,0.056,0.2436,3.000
0.899,0.013,0.30,0.18,0.18,1.00,Run,0.057,0.057,0.2435,3.000
0.910,0.011,0.30,0.18,0.18,1.00,Run,0.057,0.057,0.2434,3.000
0.923,0.013,0.30,0.18,0.18,1.00,Run,0.057,0.057,0.2432,3.000
0.935,0.013,0.30,0.18,0.18,1.00,Run,0.057,0.057,0.2431,3.000
0.948,0.013,0.30,0.18,0.18,1.00,Run,0.057,0.057,0.2430,3.000
0.960,0.012,0.30,0.18,0.18,1.00,Run,0.057,0.057,0.2428,3.000
0.973,0.013,0.30,0.18,0.18,1.00,Run,0.057,0.057,0.2427,3.000
0.985,0.013,0.30,0.18,0.18,1.00,Run,0.057,0.057,0.2426,3.000
0.998,0.013,0.30,0.18,0.18,1.00,Run,0.057,0.057,0.2425,3.000
1.010,0.012,0.30,0.18,0.18,1.00,Run,0.058,0.058,0.2424,3.000
1.023,0.013,0.30,0.18,0.18,1.00,Run,0.058,0.058,0.2423,3.000
1.035,0.012,0.30,0.18,0.18,1.00,Run,0.058,0.058,0.2422,3.000
1.047,0.013,0.30,0.18,0.18,1.00,Run,0.058,0.058,0.2421,3.000
1.059,0.012,0.30,0.18,0.18,1.00,Run,0.058,0.058,0.2420,3.000
1.072,0.013,0.30,0.18,0.18,1.00,Run,0.058,0.058,0.2420,3.000
1.084,0.012,0.30,0.18,0.18,1.00,Run,0.058,0.058,0.2419,3.000
1.097,0.013,0.30,0.18,0.18,1.00,Run,0.058,0.058,0.2418,3.000
