t,dt,desired_v,left,right,distance,state,meas_left,meas_right,err,adapt_gain
0.000,0.000,0.60,0.18,0.18,1.00,Run,0.000,0.000,0.6000,3.000
0.012,0.012,0.60,0.18,0.18,1.00,Run,0.002,0.002,0.5982,3.000
0.025,0.012,0.60,0.18,0.18,1.00,Run,0.004,0.004,0.5964,3.000
0.037,0.013,0.60,0.18,0.18,1.00,Run,0.005,0.005,0.5946,3.000
0.050,0.013,0.60,0.18,0.18,1.00,Run,0.007,0.007,0.5928,3.000
0.062,0.013,0.60,0.18,0.18,1.00,Run,0.009,0.009,0.5911,3.000
0.075,0.013,0.60,0.18,0.18,1.00,Run,0.011,0.011,0.5894,3.000
0.088,0.013,0.60,0.18,0.18,1.00,Run,0.012,0.012,0.5876,3.000
0.100,0.013,0.60,0.18,0.18,1.00,Run,0.014,0.014,0.5859,3.000
0.113,0.013,0.60,0.18,0.18,1.00,Run,0.016,0.016,0.5842,3.000
0.125,0.013,0.60,0.18,0.18,1.00,Run,0.017,0.017,0.5826,3.000
0.138,0.013,0.60,0.19,0.19,1.00,Run,0.019,0.019,0.5809,3.000
0.150,0.013,0.60,0.19,0.19,1.00,Run,0.021,0.021,0.5793,3.000
0.163,0.013,0.60,0.19,0.19,1.00,Run,0.022,0.022,0.5776,3.000
0.175,0.013,0.60,0.19,0.19,1.00,Run,0.024,0.024,0.5760,3.000
0.188,0.013,0.60,0.19,0.19,1.00,Run,0.026,0.026,0.5743,3.000
0.200,0.012,0.60,0.20,0.20,1.00,Run,0.027,0.027,0.5727,3.000
0.213,0.012,0.60,0.20,0.20,1.00,Run,0.029,0.029,0.5712,3.000
0.225,0.013,0.60,0.20,0.20,1.00,Run,0.030,0.030,0.5695,3.000
0.238,0.013,0.60,0.20,0.20,1.00,Run,0.032,0.032,0.5679,3.000
0.250,0.013,0.60,0.20,0.20,1.00,Run,0.034,0.034,0.5663,3.000
0.262,0.012,0.60,0.20,0.20,1.00,Run,0.035,0.035,0.5649,3.000
